Id,Name,Address,City,State,Zip,Phone,County,Type,Lowest Grade,Highest Grade
129847,ST. AUGUSTIN SCHOOL (6-8),4320 Grand Ave,Des Moines,IA,50312,(515) 987-5805,Polk,Private,6,8
129846,ST. JOSEPH SCHOOL (6-8),2107 E 33rd St,Des Moines,IA,50317,(515) 266-3433,Polk,Private,6,8
129845,ST. FRANCIS OF ASSISI SCHOOL (6-8),7075 Ashworth Rd,West Des Moines,IA,50266,(515) 457-7167,Polk,Private,6,8
129844,ST. AUGUSTIN SCHOOL (6-8),4320 Grand Ave,Des Moines,IA,50312,(515) 987-5805,Polk,Private,6,8
129843,ST. ANTHONY SCHOOL (6-8),16 Columbus Ave,Des Moines,IA,50315,(515) 243-1874,Polk,Private,6,8
129842,SACRED HEART SCHOOL-WEST DES MOINES (9-12),1601 Grand Ave,West Des Moines,IA,50265,(515) 223-1284,Polk,Private,9,12
129841,SACRED HEART SCHOOL-WEST DES MOINES (6-8),1601 Grand Ave,West Des Moines,IA,50265,(515) 223-1284,Polk,Private,6,8
129840,PELLA CHRISTIAN GRADE SCHOOL (6-8),216 Liberty St,Pella,IA,50219,(641) 628-2414,Marion,Private,6,8
129839,NEWTON CHRISTIAN SCHOOL (6-8),1710 N 11th Ave E,Newton,IA,50208,(641) 792-1924,Jasper,Private,6,8
129838,MT. OLIVE LUTHERAN SCHOOL (6-8),5625 Franklin Ave,Des Moines,IA,50310,(515) 277-8349,Polk,Private,6,8
129837,SACRED HEART SCHOOL-BOONE (6-8),1111 Marshall St,Boone,IA,50036,(515) 432-4124,Boone,Private,6,8
129836,KUEMPER CATHOLIC-ST. LAWRENCE CENTER,116 S East St,Carroll,IA,51401,(712) 792-3313,Carroll,Private,6,8
129835,KUEMPER CATHOLIC-ST. ANGELA CENTER,116 S East St,Carroll,IA,51401,(712) 792-3313,Carroll,Private,3,5
129834,HOLY TRINITY (9-12),2922 Beaver Ave,Des Moines,IA,50310,(515) 255-4460,Polk,Private,9,12
129833,HOLY TRINITY (6-8),2922 Beaver Ave,Des Moines,IA,50310,(515) 255-4460,Polk,Private,6,8
129832,HOLY FAMILY SCHOOL (6-8),1265 E 9th St,Des Moines,IA,50316,(515) 262-8025,Polk,Private,6,8
129831,GRANDVIEW PARK BAPTIST SCHOOL (9-12),1701 E 33rd St,Des Moines,IA,50317,(515) 265-7579,Polk,Private,9,12
129830,GRANDVIEW PARK BAPTIST SCHOOL (6-8),1701 E 33rd St,Des Moines,IA,50317,(515) 265-7579,Polk,Private,6,8
129829,DES MOINES CHRISTIAN HIGH SCHOOL,13007 Douglas Pkwy,Urbandale,IA,50323,(515) 212-2480,Polk,Private,9,12
129828,DES MOINES CHRISTIAN MIDDLE SCHOOL,13007 Douglas Pkwy,Urbandale,IA,50323,(515) 212-2480,Polk,Private,6,8
129827,ASSUMPTION (9-12),PO BOX 100,Granger,IA,50109,(515) 999-2211,Dallas,Private,9,12
129826,ASSUMPTION (6-8),PO BOX 100,Granger,IA,50109,(515) 999-2211,Dallas,Private,6,8
129825,ANKENY CHRISTIAN ACADEMY (9-12),1604 W 1st St,Ankeny,IA,50023,(515) 965-8114,Polk,Private,9,12
129824,ANKENY CHRISTIAN ACADEMY (6-8),1604 W 1st St,Ankeny,IA,50023,(515) 965-8114,Polk,Private,6,8
129823,SOUTH MIDDLE SCHOOL,2350 SE LA Grant Parkway,Waukee,IA,50263,,Dallas,Public,PK,5
129822,SHULER ELEMENTARY,16400 Douglas Parkway,Clive,IA,50325,,Dallas,Public,9,12
129821,METRO WEST LEARNING ACADEMY,11500 NW 54th Avenue,Grimes,IA,50111,,Polk,Private,9,12
129820,TRINITY LUTHERAN SCHOOL,1361 7th Avenue SW,Cedar Rapids,IA,52404,,Linn,Private,3,5
129819,SULLY CHRISTIAN SCHOOL,12629 S 92nd Avenue E,Sully,IA,50251,,Jasper,Private,3,5
129818,SPRING CREEK 6TH GRADE BUILDING,8031 NE University Avenue,Pleasant Hill,IA,50327,,Polk,Public,6,6
129817,EASTVIEW 8/9,1600 North Avenue,Norwalk,IA,50211,,Warren,Public,8,9
129816,KUEMPER HIGH SCHOOL,109 S Clark Street,Carroll,IA,51401,,Polk,Private,9,12
129815,PACE,620 8th Street,Des Moines,IA,50309,,Polk,Public,8,12
129814,GATEWAY SECONDARY SCHOOL,1800 Grand Avenue,Des Moines,IA,50309,,Polk,Public,6,8
129813,CARROLL ALTERNATIVE SCHOOL,1026 N Adams,Carroll,IA,51401,,Polk,Public,9,12
129812,BONDURANT-FARRAR MIDDLE SCHOOL,300 Garfield Street SW,Bondurrant,IA,50035,,Polk,Public,5,8
129811,BERGMAN ACADEMY,100 45th Street,Des Moines,IA,50312,,Polk,Private,3,5
129810,SOUTHVIEW MIDDLE SCHOOL,1020 SW Cherry Street,Ankeny,IA,50023,,Polk,Public,10,10
129809,PRAIRIE RIDGE MIDDLE SCHOOL,1010 NW Prairie Ridge Drive,Ankeny,IA,50023,,Polk,Public,6,7
129808,ST. PATRICK SCHOOL (3-5),1302 5th Street,Perry,IA,50220,,Dallas,Private,3,5
129807,HOLY TRINITY SCHOOL,413 Avenue C,West Point,IA,52656,,Lee,Private,6,8
129806,HOLY TRINITY SCHOOL,PO Box 39,West Point,IA,52656,,Lee,Private,3,5
129805,LINCOLN SOUTH ACADEMY,1000 Porter Avenue,Des Moines,IA,50315,,Polk,Public,9,9
129803,GREAT PRAIRIE AREA EDUCATION AGENCY_ CLASSIFIED STAFF & OTHER,3601 West Avenue Road,Burlington,IA,52601,,Burlington,Public,12,12
129575,WAHLERT CATHOLIC HIGH SCHOOL,2005 Kane St,Dubuque,IA,52001,(563) 583-9771,Dubuque,Private,14,17
129574,ST VINCENTS SCHOOL,2981 Plank Rd,Keokuk,IA,52632,(319) 524-6375,Lee,Private,2,13
129573,ST ALBERT JR/SR HIGH SCHOOL,400 Gleason Ave,Council Bluffs,IA,51503,(712) 328-2316,Pottawattamie,Private,12,17
109435,ZION-ST JOHN LUTHERAN SCHOOL,103 W Bertha St,Paullina,IA,51046,(712) 949-3915,Obrien,Private,3,13
109434,ZION LUTHERAN SCHOOL,PO BOX 429,Wilton,IA,52778,(563) 732-2912,Muscatine,Private,,
109433,ZION LUTHERAN SCHOOL,1004 1st Ave S,Denison,IA,51442,(712) 263-4766,Crawford,Private,2,13
109432,XAVIER HIGH SCHOOL,6300 42nd St NE,Cedar Rapids,IA,52411,(319) 294-6635,Linn,Private,14,17
109431,WILLOWWIND SCHOOL,950 Dover St,Iowa City,IA,52245,(319) 338-6061,Johnson,Private,2,13
109430,WESTERN CHRISTIAN HIGH SCHOOL,BOX 658,Hull,IA,51239,(712) 439-1013,Sioux,Private,14,17
109429,WALNUT RIDGE BAPTIST ACADEMY,1307 W Ridgeway Ave,Waterloo,IA,50701,(319) 235-9309,Black Hawk,Private,3,17
109428,VICTORY CHRISTIAN ACADEMY,805 N 1st St,Indianola,IA,50125,(515) 262-2902,Warren,Private,2,13
109427,VALLEY LUTHERAN HIGH SCHOOL,4520 Rownd St,Cedar Falls,IA,50613,(319) 266-4565,Black Hawk,Private,11,17
109426,UNITY CHRISTIAN HIGH SCHOOL,216 Michigan Ave SW,Orange City,IA,51041,(712) 737-4114,Sioux,Private,14,17
109425,TRINITY LUTHERAN SCHOOL,1361 7th Ave SW,Cedar Rapids,IA,52404,(319) 362-6952,Linn,Private,2,13
109424,TRINITY LUTHERAN SCHOOL,1122 W Central Park Ave,Davenport,IA,52804,(563) 322-5224,Scott,Private,2,13
109423,TRINITY LUTHERAN SCHOOL,712 12th St,Boone,IA,50036,(515) 432-6912,Boone,Private,2,13
109422,TRINITY LUTHERAN INTERPARISH SCHOOL,1500 N 16th St,Council Bluffs,IA,51501,(712) 322-3294,Pottawattamie,Private,2,11
109421,TRINITY CATHOLIC SCHOOL,PO BOX 246,Protivin,IA,52163,(563) 569-8556,Howard,Private,3,11
109420,TIMOTHY CHRISTIAN SCHOOL,PO BOX 70,Wellsburg,IA,50680,(641) 869-3679,Grundy,Private,3,13
109419,SUMMIT SCHOOLS,1010 Regent St NE,Cedar Rapids,IA,52402,(319) 294-2036,Linn,Private,2,10
109418,SULLY CHRISTIAN SCHOOL,12629 S 92nd Ave E,Sully,IA,50251,(641) 594-4180,Jasper,Private,3,13
109417,ST THOMAS AQUINAS SCHOOL (Grades 3-4),624 Dubuque St,Webster City,IA,50595,(515) 832-1346,Hamilton,Private,pk,4
109416,ST THERESA SCHOOL (3-5),5810 Carpenter Ave,Des Moines,IA,50311,(515) 277-0178,Polk,Private,pk,5
109415,ST ROSE OF LIMA SCHOOL,1012 2nd Ave S,Denison,IA,51442,(712) 263-5408,Crawford,Private,2,11
109414,ST. PIUS X SCHOOL (3-4),3601 66th St,Urbandale,IA,50322,(515) 276-1061,Polk,Private,3,4
109413,ST PIUS X ELEMENTARY SCHOOL,4901 Council St NE,Cedar Rapids,IA,52402,(319) 393-4507,Linn,Private,2,10
109412,ST PAULS LUTHERAN SCHOOL,614 Jennings St,Sioux City,IA,51105,(712) 258-6325,Woodbury,Private,2,11
109411,ST PAUL'S LUTHERAN SCHOOL,212 2nd St NW,Waverly,IA,50677,(319) 352-1484,Bremer,Private,2,11
109410,ST PAUL THE APOSTLE CATHOLIC SCHOOL,1007 E Rusholme St,Davenport,IA,52803,(563) 322-2923,Scott,Private,2,13
109409,ST PAUL SCHOOL,309 3rd Ave SW,Worthington,IA,52078,(563) 855-2125,Dubuque,Private,2,11
109408,FORT DODGE ST PAUL LUTHERAN SCHOOL (Grades 3-5),400 S 13th,Fort Dodge,IA,50501,(641) 579-6046,Webster,Private,pk,5
109407,ST PATRICKS SCHOOL,1302 5th St,Perry,IA,50220,(515) 465-4186,Dallas,Private,2,13
109406,ST PATRICK'S SCHOOL,219 N 7th St,Missouri Valley,IA,51555,(712) 642-3155,Harrison,Private,2,13
109405,ST PATRICK SCHOOL,216 N Garnavillo St,Anamosa,IA,52205,(319) 462-2688,Jones,Private,2,11
109404,ST PATRICK SCHOOL,200 2nd St SW,Waukon,IA,52172,(563) 568-2415,Allamakee,Private,2,11
109403,ST PATRICK SCHOOL,615 Washington St,Cedar Falls,IA,50613,(319) 277-6781,Black Hawk,Private,2,13
109402,ST PATRICK ELEMENTARY SCHOOL,1020 4th Ave,Sheldon,IA,51201,(712) 324-3181,Obrien,Private,2,13
109401,ST MATTHEW SCHOOL,125 24th St NE,Cedar Rapids,IA,52402,(319) 362-3021,Linn,Private,2,10
109400,ST MARYS SCHOOLS,312 Seneca St,Storm Lake,IA,50588,(712) 732-1856,Buena Vista,Private,2,17
109399,ST MARY'S ELEMENTARY SCHOOL,303 3rd Ave N,Humboldt,IA,50548,(515) 332-2134,Humboldt,Private,pk,6
109398,ST MARY''S CATHOLIC SCHOOL,838 S 18th St,Centerville,IA,52544,(641) 437-1117,Appanoose,Private,,
109397,ST MARY S HIGH SCHOOL,PO BOX 500,Remsen,IA,51050,(712) 786-1433,Plymouth,Private,2,17
109396,ST MARY ELEMENTARY SCHOOL,PO BOX 100,Guttenberg,IA,52052,(563) 252-1577,Clayton,Private,3,13
109395,ST MARY ELEMENTARY SCHOOL,132 W Butler St,Manchester,IA,52057,(563) 927-3689,Delaware,Private,3,11
109394,ST MALACHY SCHOOL,403 W Clark St,Creston,IA,50801,(641) 782-7125,Union,Private,2,13
109393,ST JOSEPH SCHOOL,1430 14th St,Marion,IA,52302,(319) 377-6348,Linn,Private,2,13
109392,ST. JOSEPH SCHOOL (3-5),2107 E 33rd St,Des Moines,IA,50317,(515) 266-3433,Polk,Private,3,5
109391,ST JOSEPH COMMUNITY SCHOOL,216 N Broadway Ave,New Hampton,IA,50659,(641) 394-2865,Chickasaw,Private,2,13
109390,ST JOSEPH CATHOLIC SCHOOL,417 6th Ave,De Witt,IA,52742,(563) 659-3812,Clinton,Private,3,13
109389,ST JOHNS SCHOOL,314 3rd St NE,Independence,IA,50644,(319) 334-7173,Buchanan,Private,3,13
109388,ST JOHN THE BAPTIST SCHOOL,PO BOX 258,Bancroft,IA,50517,(515) 885-2580,Kossuth,Private,3,10
109387,ST JOHN LUTHERAN PRESCHOOL/KDG,301 N 13th St,Clarinda,IA,51632,(712) 542-3708,Page,Private,2,3
109386,ST JAMES SCHOOL,616 W 2nd St,Washington,IA,52353,(319) 653-3631,Washington,Private,2,11
109385,ST FRANCIS XAVIER ELEM SCHOOL,203 2nd St SW,Dyersville,IA,52040,(563) 875-7376,Dubuque,Private,2,11
109384,ST. FRANCIS OF ASSISI SCHOOL (3-5),7075 Ashworth Rd,West Des Moines,IA,50266,(515) 457-7167,Polk,Private,3,5
109383,ST EDWARD SCHOOL,139 Mitchell Ave,Waterloo,IA,50702,(319) 233-6202,Black Hawk,Private,2,13
109382,FORT DODGE ST EDMOND ELEMENTARY,2321 6th Ave N,Fort Dodge,IA,50501,(515) 576-5182,Webster,Private,3,5
109381,FORT DODGE ST EDMOND CATHOLIC MIDDLE/HIGH SCHOOL,501 N 22nd St,Fort Dodge,IA,50501,(515) 955-5850,Webster,Private,6,12
109380,ST COLUMBKILLE SCHOOL,1198 Rush St,Dubuque,IA,52003,(563) 582-3532,Dubuque,Private,3,10
109379,ST. CECILIA SCHOOL,2900 Hoover Ave,Ames,IA,50010,(515) 232-5290,Story,Private,3,5
109378,ST CATHERINE-ST MARYS GRADE SCHOOL,321 Fulton St,Remsen,IA,51050,(712) 786-1160,Plymouth,Private,3,13
109377,ST BENEDICT SCHOOL,402 Rural Ave,Decorah,IA,52101,(563) 382-4668,Winneshiek,Private,2,13
109376,ST. AUGUSTIN SCHOOL (3-5),4320 Grand Ave,Des Moines,IA,50312,(515) 987-5805,Polk,Private,3,5
109375,ST ATHANASIUS SCHOOL,PO BOX 288,Jesup,IA,50648,(319) 827-1314,Buchanan,Private,3,13
109374,ST ANTHONY SCHOOL,2175 Rosedale Ave,Dubuque,IA,52001,(563) 556-2820,Dubuque,Private,2,10
109373,ST. ANTHONY SCHOOL (3-5),16 Columbus Ave,Des Moines,IA,50315,(515) 243-1874,Polk,Private,3,5
109372,ST ALBERT ELEMENTARY SCHOOL-PRIMARY BUILDING,2912 9th Ave,Council Bluffs,IA,51501,(712) 323-3703,Pottawattamie,Private,2,8
109371,ST ALBERT ELEMENTARY SCHOOL-INTERMEDIATE BLDG,400 Gleason Ave,Council Bluffs,IA,51503,(712) 322-7004,Pottawattamie,Private,9,11
109370,SPALDING CATHOLIC/ST MARY CENTER,PO BOX 436,Alton,IA,51003,(712) 756-4532,Sioux,Private,2,11
109369,SPALDING CATHOLIC/ST ANTHONY CENTER,PO BOX 27,Hospers,IA,51238,(712) 752-8286,Sioux,Private,3,8
109368,SPALDING CATHOLIC SCHOOLS,PO BOX 168,Granville,IA,51022,(712) 727-3451,Sioux,Private,12,17
109367,SONRISE CHRISTIAN SCHOOL AND DAYCARE,928 Jefferson St,Waterloo,IA,50701,(319) 235-6191,Black Hawk,Private,2,10
109366,SIOUXLAND COMMUNITY CHRISTIAN SCHOOL,6100 Morningside Ave,Sioux City,IA,51106,(712) 276-4732,Woodbury,Private,2,17
109365,SIOUX CENTER CHRISTIAN SCHOOL,630 1st Ave SE,Sioux Center,IA,51250,(712) 722-0777,Sioux,Private,3,13
109364,SHEPHERD'S FLOCK EARLY LEARNING CENTER,3900 Ashworth Rd,West Des Moines,IA,50265,(515) 225-1952,Polk,Private,2,3
109363,SHELDON CHRISTIAN SCHOOL,1425 E 9th St,Sheldon,IA,51201,(712) 324-2429,Obrien,Private,2,13
109362,SHELBY COUNTY CATHOLIC SCHOOL,2005 College Pl,Harlan,IA,51537,(712) 755-5634,Shelby,Private,2,13
109361,SETON GRADE SCHOOL,808 E Lucas St,Algona,IA,50511,(515) 295-3509,Kossuth,Private,2,13
109360,SETON CATHOLIC SCHOOL,PO BOX 246,Epworth,IA,52045,(563) 744-3290,Dubuque,Private,2,13
109359,SETON CATHOLIC SCHOOL,210 2nd Ave SE,Farley,IA,52046,(563) 744-3290,Dubuque,Private,2,13
109358,SETON CATHOLIC ELEM SCHOOL,117 4th St E,Ottumwa,IA,52501,(641) 682-8826,Wapello,Private,2,11
109357,SCATTERGOOD FRIENDS SCHOOL,1951 Delta Ave,West Branch,IA,52358,(319) 643-7600,Cedar,Private,14,17
109356,SCARVILLE LUTHERAN SCHOOL,PO BOX 20,Scarville,IA,50473,(641) 568-3372,Winnebago,Private,3,13
109355,SAYRE MONTESSORI SCHOOL,1700 28th St,West Des Moines,IA,50266,(515) 225-7378,Polk,Private,1,1
109354,SANBORN CHRISTIAN SCHOOL,405 W 2nd St,Sanborn,IA,51248,(712) 729-3288,Obrien,Private,2,13
109353,SPENCER SACRED HEART SCHOOL,BOX 817,SPENCER,IA,51301,(712) 262-6428,Clay,Private,PK,6
109352,SACRED HEART SCHOOL-BOONE (3-5),1111 Marshall St,Boone,IA,50036,(515) 432-4124,Boone,Private,3,5
109351,SACRED HEART SCHOOL,5010 Military Rd,Sioux City,IA,51103,(712) 233-1624,Woodbury,Private,3,13
109350,SACRED HEART SCHOOL-WEST DES MOINES (3-5),1601 Grand Ave,West Des Moines,IA,50265,(515) 223-1284,Polk,Private,3,5
109349,SACRED HEART SCHOOL,620 W 5th St,Waterloo,IA,50702,(319) 234-6593,Black Hawk,Private,2,13
109348,SACRED HEART SCHOOL,234 N Sycamore St,Monticello,IA,52310,(319) 465-4605,Jones,Private,2,11
109347,SACRED HEART ELEMENTARY SCHOOL,806 Eddy St,Maquoketa,IA,52060,(563) 652-3743,Jackson,Private,2,11
109346,SACRED HEART ELEMENTARY SCHOOL,218 S 12th St,Osage,IA,50461,(641) 732-5221,Mitchell,Private,2,11
109345,SACRED HEART ELEMENTARY SCHOOL,601 1st Ave SW,Oelwein,IA,50662,(319) 283-1366,Fayette,Private,2,11
109344,ROCK VALLEY CHRISTIAN SCHOOL,1405 17th St,Rock Valley,IA,51247,(712) 476-2615,Sioux,Private,,
109343,RIVERMONT COLLEGIATE,1821 Sunset Dr,Bettendorf,IA,52722,(563) 359-1366,Scott,Private,2,17
109342,RESURRECTION SCHOOL,4300 Asbury Rd,Dubuque,IA,52002,(563) 583-9488,Dubuque,Private,2,10
109341,REGIS MIDDLE SCHOOL,735 Prairie Dr NE,Cedar Rapids,IA,52402,(319) 363-1968,Linn,Private,11,13
109340,REGINA CATHOLIC ELEMENTARY SCHOOL,2120 Rochester Ave,Iowa City,IA,52245,(319) 337-5739,Johnson,Private,2,11
109339,QUAD CITY SEVENTH-DAY ADVENTIST ELEMENTARY,4444 W Kimberly Rd,Davenport,IA,52806,(563) 391-9499,Scott,Private,3,14
109338,QUAD CITY MONTESSORI SCHOOL,2400 E 46th St,Davenport,IA,52807,(563) 355-1289,Scott,Private,2,11
109337,PRINCE OF PEACE ACADEMY AND COLLEGE PREPARATORY,312 S 4th St,Clinton,IA,52732,(563) 242-1663,Clinton,Private,2,17
109336,POCAHONTAS CATHOLIC GRADE SCHOOL,305 SW 3rd St,Pocahontas,IA,50574,(712) 335-3603,Pocahontas,Private,3,5
109335,PLYMOUTH ROAD CHRISTIAN ACADEMY,PO BOX 47,Plymouth,IA,50464,(641) 696-5940,Cerro Gordo,Private,6,15
109334,PEORIA CHRISTIAN SCHOOL,110 Peoria High St,Pella,IA,50219,(641) 625-4131,Marion,Private,3,5
109333,PELLA CHRISTIAN HIGH SCHOOL,604 Jefferson St,Pella,IA,50219,(641) 628-4440,Marion,Private,9,12
109332,PELLA CHRISTIAN GRADE SCHOOL (3-5),216 Liberty St,Pella,IA,50219,(641) 628-2414,Marion,Private,3,5
109331,PATHWAY CHRISTIAN SCHOOL,5764 Hwy 1 SW,Kalona,IA,52247,(319) 656-5443,Washington,Private,3,17
109330,OTTUMWA CHRISTIAN SCHOOL,458 N Court St,Ottumwa,IA,52501,(641) 683-9119,Wapello,Private,2,17
109329,OSKALOOSA CHRISTIAN SCHOOL,726 N E St,Oskaloosa,IA,52577,(641) 672-2174,Mahaska,Private,2,13
109328,ORANGE CITY CHRISTIAN SCHOOL,604 3rd St SW,Orange City,IA,51041,(712) 737-2274,Sioux,Private,2,13
109327,OCHEYEDAN CHRISTIAN SCHOOL,1155 Oak St,Ocheyedan,IA,51354,(712) 758-3210,Osceola,Private,3,13
109326,NOTRE DAME CATHOLIC SCHOOL,221 2nd Ave E,Cresco,IA,52136,(563) 547-4513,Howard,Private,2,11
109325,NORTHWEST IOWA PROT REF,PO BOX 69,Doon,IA,51235,(712) 726-3200,Lyon,Private,3,13
109324,NORTH IOWA CHRISTIAN SCHOOL,811 N Kentucky Ave,Mason City,IA,50401,(641) 423-6440,Cerro Gordo,Private,3,17
109323,NEWTON CHRISTIAN SCHOOL (3-5),1710 N 11th Ave E,Newton,IA,50208,(641) 792-1924,Jasper,Private,3,5
109322,NEWMAN CATHOLIC HIGH SCHOOL,2445 19th St SW,Mason City,IA,50401,(641) 423-6939,Cerro Gordo,Private,2,17
109321,NEWELL PRIDE AND JOY PRESCHOOL,BOX 134,Newell,IA,50568,(712) 272-0022,Buena Vista,Private,2,4
109320,NEW HORIZON ACADEMY,6201 Franklin Ave,Urbandale,IA,50322,(515) 255-0212,Polk,Private,3,7
109319,NEVADA SEVENTH-DAY ADVENTIST SCHOOL,224 6th St,Nevada,IA,50201,(515) 382-4932,Story,Private,3,12
109318,NETHERLANDS REFORMED CHRISTIAN SCHOOL,712 20th Ave SE,Rock Valley,IA,51247,(712) 476-2821,Sioux,Private,6,17
109317,MT PLEASANT CHRISTIAN SCHOOL,1505 E Washington St,Mt Pleasant,IA,52641,(319) 385-8613,Henry,Private,2,17
109316,MT. OLIVE LUTHERAN SCHOOL (3-5),5625 Franklin Ave,Des Moines,IA,50310,(515) 277-8349,Polk,Private,3,5
109315,MORNING STAR ACADEMY,1426 Tanglefoot Ln,Bettendorf,IA,52722,(563) 359-5700,Scott,Private,2,17
109314,MONTESSORI SCHOOL-IOWA CITY,374 Holiday Rd,Coralville,IA,52241,(319) 338-9650,Johnson,Private,6,7
109313,MONTESSORI CHILDREN'S HOUSE,1505 42nd St,West Des Moines,IA,50266,(515) 225-1073,Polk,Private,2,6
109312,MONTESSORI CHILDREN'S GARDEN,20 Circle Dr,North Liberty,IA,52317,(319) 665-9625,Johnson,Private,2,3
109311,MAZZUCHELLI CATHOLIC MIDDLE SCHOOL,2005 Kane St,Dubuque,IA,52001,(563) 582-5456,Dubuque,Private,11,13
109310,MAYFLOWER HERITAGE CHRISTIAN SCHOOL,PO BOX 304,Creston,IA,50801,(641) 782-0026,Union,Private,3,13
109309,MATER DEI SCHOOL NATIVITY CENTER,4243 Natalia Way,Sioux City,IA,51106,(712) 274-0268,Woodbury,Private,11,13
109308,MATER DEI SCHOOL,3719 Ridge Ave,Sioux City,IA,51106,(712) 276-6216,Woodbury,Private,3,10
109307,MARSHALLTOWN AREA CATHOLIC SCHOOL,10 W Linn St,Marshalltown,IA,50158,(641) 753-7977,Marshall,Private,2,11
109306,MARQUETTE SCHOOL SYSTEM PK-12,502 Franklin St,Bellevue,IA,52031,(563) 872-3284,Jackson,Private,3,17
109305,MARQUETTE ACADEMY,1116 W 6th St,Davenport,IA,52802,(563) 322-3723,Scott,Private,2,9
109304,MAHARISHI SCHOOL OF ENLIGHTENMENT,804 Dr Robert Keith Wallace Dr,Fairfield,IA,52556,(641) 472-9400,Jefferson,Private,2,17
109303,MAARQUETTE CATHOLIC SCHOOL,403 Park St,Bellevue,IA,52031,(563) 872-3284,Jackson,Private,2,17
109302,LUTHERAN INTERPARISH SCHOOL,PO BOX 750,Williamsburg,IA,52361,(319) 668-1711,Iowa,Private,2,13
109301,LOURDES CATHOLIC SCHOOL,1453 Mississippi Blvd,Bettendorf,IA,52722,(563) 359-3466,Scott,Private,2,13
109300,LASALLE MIDDLE SCHOOL - HOLY FAMILY,3700 1st Ave NW,Cedar Rapids,IA,52405,(319) 396-7792,Linn,Private,2,13
109299,LASALLE CATHOLIC SCHOOL,835 Church St,Holy Cross,IA,52053,(563) 870-2405,Dubuque,Private,2,13
109298,KUEMPER CATHOLIC-HOLY SPIRIT,116 S East St,Carroll,IA,51401,(712) 792-3313,Carroll,Private,3,3
