480789000117, ALLEN H S, Public, (972) 727-0400, 9, 12, 75002
480789010489, DR E T BOON EL, Public, (972) 747-3331, PK, 6, 75013
480789010488, ERECKSON MIDDLE, Public, (972) 747-3308, 7, 9, 75013
480789006950, FLOSSIE FLOYD GREEN EL, Public, (972) 727-0370, PK, 6, 75013
480789007552, FRANCES E NORTON EL, Public, (972) 396-6918, KG, 6, 75013
480789008726, KERR EL, Public, (214) 495-6765, PK, 6, 75013
480789012153, MARY EVANS EL, Public, (972) 747-3373, PK, 6, 75013
A0771747, CREME DE LA CRÈME - ALLEN, Private, (214) 495-0941, PK, KG, 75013
A0771821, PEBBLECREEK MONTESSORI, Private, (972) 908-3797, PK, 6, 75013
A0771845, PRIMROSE SCHOOL OF WEST ALLEN, Private, (972) 359-8805, PK, KG, 75013
483510010506, ADULT BASIC ED, Public, (469) 752-6900, N ,N ,75023
483510006030, CARLISLE EL, Public, (469) 752-0600, PK, 5, 75023
483510003958, CARPENTER MIDDLE, Public, (469) 752-5000, 6, 8, 75023
483510003959, CHRISTIE EL, Public, (469) 752-0800, KG, 5, 75023
483510005571, CLARK H S, Public, (469) 752-7200, 9, 10, 75023
483510003964, HUGHSTON EL, Public, (469) 752-2000, KG, 5, 75023
483510008737, LARRY D GUINN SPECIAL PROGRAMS CENTER, Public, (469) 752-6900, 9, 12, 75023
483510009173, PEARSON EARLY CHILDHOOD, Public, (469) 752-4300, PK,PK,75023
483510005573, SCHIMELPFENIG MIDDLE, Public, (469) 752-6400, 6, 8, 75023
480834010492, SPECIAL PROG CTR/J J A E P, Public, (972) 924-1000, 12,12,75023
483510003973, THOMAS EL, Public, (469) 752-3500, KG, 5, 75023
483510003976, WELLS EL, Public, (469) 752-3700, KG, 5, 75023
A0303076, GREAT LAKES ACADEMY, Private, (972) 517-7498, 1, 12, 75023
A0702224, IACC ACADEMY, Private, (469) 241-1447, PK, 3, 75023
A0303126, SPRING CREEK ACADEMY, Private, (972) 517-6730, KG, 12, 75023
A0303134, ST PAUL CHRISTIAN SCHOOL, Private, (972) 491-5443, PK, 1, 75023
AA001619, WEST PLANO MONTESSORI SCHOOL, Private, (972) 618-8844, PK, 1, 75023
482001008485, BORCHARDT ELEMENTARY, Public, (469) 633-2800, KG, 5, 75024
483510006954, GULLEDGE EL, Public, (469) 752-1300, KG, 5, 75024
483510007557, HAUN EL, Public, (469) 752-1600, KG, 5, 75024
483510007221, JASPER H S, Public, (469) 752-7400, 9, 10, 75024
482001009642, RIDDLE EL, Public, (469) 633-3200, PK, 5, 75024
483510003534, ROBINSON MIDDLE, Public, (469) 752-6200, 6, 8, 75024
A0702197, CA MONTESSORI CHILDRENS CENTER, Private, (214) 473-1151, PK, KG, 75024
A0903499, CHILDRENS GARDEN MONTESSORI ACADEMY, Private, (972) 334-0980, PK, KG, 75024
AA890922, MONTESSORI NEW BEGINNINGS ACADEMY, Private, (972) 491-1230, PK, KG, 75024
A0771810, NEW STAR LEADERSHIP EDUCATION CENTER, Private, (972) 897-9217, KG, 5, 75024
A9504140, PRESTON MEADOWS MONTESSORI, Private, (972) 596-7094, PK, KG, 75024
A0702280, ST TIMOTHY CHRISTIAN ACADEMY, Private, (214) 291-4701, 2, 7, 75024
A0990131, YORKTOWN EDUCATION, Private, (972) 473-3423, 5, 12, 75024
482001008147, ANDERSON EL, Public, (469) 633-2300, KG, 5, 75025
483510009169, ANDREWS EL SCHOOL, Public, (469) 752-3900, KG, 5, 75025
483510003542, BETHANY EL, Public, (469) 752-0300, KG, 5, 75025
483510008151, C M RICE MIDDLE, Public, (469) 752-6000, 6, 8, 75025
482001011484, FOWLER MIDDLE SCHOOL, Public, (469) 633-5050, 6, 8, 75025
483510021017, HEDGCOXE EL, Public, (469) 752-1700, KG, 5, 75025
483510006464, HENDRICK MIDDLE, Public, (469) 752-5600, 6, 8, 75025
483510006465, MATHEWS EL, Public, (469) 752-2300, PK, 5, 75025
483510021183, RASOR EL, Public, (469) 752-2900, KG, 5, 75025
483510007223, SKAGGS EL, Public, (469) 752-3300, KG, 5, 75025
482001011170, TAYLOR EL, Public, (469) 633-3625, KG, 5, 75025
483510008736, WYATT EL, Public, (469) 752-3800, PK, 5, 75025
A0771884, WHITE DOVE MONTESSORI SCHOOL, Private, (972) 727-7433, PK, KG, 75025
482001001955, ACKER SPECIAL PROGRAMS CENTER, Public, (469) 633-6800, KG, 8, 75034
482001012141, ALLEN EL, Public, (469) 633-3800, KG, 5, 75034
482001010499, BLEDSOE ELEMENTARY, Public, (469) 633-3600, KG, 5, 75034
482001009636, BOALS EL, Public, (469) 633-3300, KG, 5, 75034
482001008484, BRIGHT EL, Public, (469) 633-2700, KG, 5, 75034
482001011403, CARROLL EL, Public, (469) 633-3725, KG, 5, 75034
482001012481, COBB MIDDLE, Public, (469) 633-4300, 6, 8, 75034
482001010493, COLLIN CO J J A E P, Public, (469) 633-6000, N ,N ,75034
482001011168, CORBELL EL, Public, (469) 633-3550, PK, 5, 75034
482001008483, FISHER ELEMENTARY, Public, (469) 633-2600, KG, 5, 75034
482001001956, FRISCO H S, Public, (469) 633-5500, 9, 12, 75034
482001010495, GRIFFIN MIDDLE SCHOOL, Public, (469) 633-4900, 6, 8, 75034
482772009600, HACKBERRY ELEMENTARY, Public, (972) 547-3505, PK, 4, 75034
482001012483, HUNT MIDDLE, Public, (469) 633-5200, 6, 8, 75034
480142012633, LEADERSHIP PREP SCHOOL, Public, (214) 918-5891, N ,N ,75034
482001012473, LONE STAR H S, Public, (469) 633-5300, 9, 11, 75034
482001010498, PINK ELEMENTARY, Public, (469) 633-3500, KG, 5, 75034
482001009161, PIONEER HERITAGE MIDDLE SCHOOL, Public, (469) 633-4700, 6, 8, 75034
482001012590, PUREFOY EL, Public, (469) 633-3875, KG, 5, 75034
482001006410, ROGERS ELEMENTARY, Public, (469) 633-2000, KG, 5, 75034
482001009164, SPARKS EL, Public, (469) 633-3000, KG, 5, 75034
482001009163, SPEARS ELEMENTARY, Public, (469) 633-2900, KG, 5, 75034
482001012255, STAFFORD MIDDLE, Public, (469) 633-5100, 6, 8, 75034
482001001957, STALEY MIDDLE SCHOOL, Public, (469) 633-4500, 6, 8, 75034
482001008482, STUDENT OPPORTUNITY CENTER, Public, (469) 633-6700, 9, 12, 75034
482730010616, TOM HICKS ELEMENTARY, Public, (469) 713-5981, PK, 5, 75034
482001010494, WAKELAND HIGH SCHOOL, Public, (469) 633-5700, 9, 12, 75034
A0702293, EL DORADO MONTESSORI SCHOOL, Private, (972) 334-9444, PK, KG, 75034
A0303063, FRISCO MONTESSORI ACADEMY, Private, (972) 712-7400, PK, 5, 75034
A0109424, LEGACY CHRISTIAN ACADEMY, Private, (469) 633-1330, PK, 12, 75034
A0903575, PRIMROSE SCHOOL OF GRIFFIN PARC, Private, (214) 618-2700, PK, KG, 75034
A0771836, PRIMROSE SCHOOL OF LAKEHILL, Private, (972) 668-4300, PK, KG, 75034
A0771855, SPANISH SCHOOLHOUSE, Private, (214) 619-0737, PK, KG, 75034
A0503468, STARWOOD MONTESSORI SCHOOL, Private, (972) 712-8080, PK, 6, 75034
482001010500, ASHLEY ELEMENTARY, Public, (469) 633-3700, KG, 5, 75035
482001009160, CENTENNIAL HIGH SCHOOL, Public, (469) 633-5600, 9, 12, 75035
482001008148, CHRISTIE EL, Public, (469) 633-2400, KG, 5, 75035
482001008729, CLARK MIDDLE SCHOOL, Public, (469) 633-4600, 6, 8, 75035
482001006951, CURTSINGER EL, Public, (469) 633-2100, KG, 5, 75035
482001011985, EARLY CHILDHOOD SCHOOL, Public, (469) 633-3825, PK, 5, 75035
482001009165, GUNSTREAM ELEMENTARY, Public, (469) 633-3100, KG, 5, 75035
482001012192, HERITAGE H S, Public, (469) 633-5900, 9, 11, 75035
482001010497, ISBELL ELEMENTARY, Public, (469) 633-3400, KG, 5, 75035
482001011166, LIBERTY H S, Public, (469) 633-5800, 9, 12, 75035
482001012470, MAUS MIDDLE, Public, (469) 633-5250, 6, 8, 75035
482001010496, ROACH MIDDLE SCHOOL, Public, (469) 633-5000, 6, 8, 75035
482001011169, SEM EL, Public, (469) 633-3575, KG, 5, 75035
482001008730, SHAWNEE TRAIL ELEMENTARY, Public, (469) 633-2500, KG, 5, 75035
482001007554, SMITH ELEMENTARY, Public, (469) 633-2200, KG, 5, 75035
482001012138, TADLOCK EL, Public, (469) 633-3775, KG, 5, 75035
482001009162, WESTER MIDDLE SCHOOL, Public, (469) 633-4800, 6, 8, 75035
A0903586, PRIMROSE SCHOOL OF PRESTMONT, Private, (972) 712-7746, PK, KG, 75035
482985008488, ALBERT & IOLA LEE DAVIS MALVERN EL, Public, (469) 742-5300, PK, 5, 75069
482985003356, BURKS EL, Public, (469) 742-6200, KG, 5, 75069
482985006300, CALDWELL EL, Public, (469) 742-5500, KG, 5, 75069
482985012075, EL #22, Public, (469) 742-4000, KG, 5, 75069
482985003361, FAUBION MIDDLE, Public, (469) 742-6900, 6, 8, 75069
482985003358, FINCH EL, Public, (469) 742-5600, KG, 5, 75069
482985007556, J J A E P, Public, (469) 742-7800, 7, 12, 75069
482985003360, MCKINNEY H S, Public, (469) 742-5700, 9, 12, 75069
482838011892, ROBERT L PUSTER ELEMENTARY SCHOOL, Public, (469) 742-8300, PK, 5, 75069
482985008149, SERENITY HIGH, Public, (469) 742-7830, 9, 12, 75069
482838010526, SLOAN CREEK MIDDLE, Public, (469) 742-8400, 6, 8, 75069
482985006754, THE L I N C CTR, Public, (469) 742-7800, 9, 12, 75069
482985003362, WEBB EL, Public, (469) 742-6000, KG, 5, 75069
A0771759, FAITH CHRISTIAN ACADEMY, Private, (972) 562-5323, PK, 12, 75069
A9707992, LITTLE SAINTS SCHOOL, Private, (972) 562-3585, PK, KG, 75069
A0303120, ROBERT MULTER SCHOOL, Private, (214) 544-8338, PK, KG, 75069
482985008487, ARTHUR H MCNEIL EL, Public, (469) 742-5200, KG, 5, 75070
482985007833, C T EDDINS EL, Public, (469) 742-6600, KG, 5, 75070
482985009167, DEAN AND MILDRED BENNETT EL, Public, (469) 742-5400, PK, 5, 75070
482985006952, DOWELL MIDDLE, Public, (469) 742-6700, 6, 8, 75070
482985008734, EARL & LOTTIE WOLFORD EL, Public, (469) 742-4700, KG, 5, 75070
482001012247, ELLIOTT EL, Public, (469) 633-3750, KG, 5, 75070
482985003482, GLEN OAKS EL, Public, (469) 742-6400, KG, 5, 75070
482985011172, JESSE MCGOWEN EL, Public, (469) 742-7500, KG, 5, 75070
482985009166, JOSE DE JESUS AND MARIA LUISA VEGA EL, Public, (469) 742-5100, KG, 5, 75070
482985010502, LEONARD EVANS JR MIDDLE, Public, (469) 742-7100, 6, 8, 75070
482985010501, MCKINNEY BOYD H S, Public, (469) 424-5400, 9, 12, 75070
482985008731, MCKINNEY NORTH H S, Public, (469) 742-4300, 9, 12, 75070
482001011563, MOONEYHAM EL, Public, (469) 633-3650, KG, 5, 75070
482985011173, NAOMI PRESS EL, Public, (469) 742-7600, KG, 5, 75070
482001011167, OGLE ELEMENTARY, Public, (469) 633-3525, KG, 5, 75070
482985007555, REUBEN JOHNSON EL, Public, (469) 742-6500, KG, 5, 75070
482985008733, ROY LEE WALKER EL, Public, (469) 742-4600, KG, 5, 75070
482001012220, SCOGGINS MIDDLE, Public, (469) 633-5150, 6, 8, 75070
482985008732, SCOTT MORGAN JOHNSON MIDDLE, Public, (469) 742-4900, 6, 8, 75070
482985006953, SLAUGHTER EL, Public, (469) 742-6100, KG, 5, 75070
482001012599, SONNTAG EL, Public, (469) 633-3850, KG, 5, 75070
482838010528, SPECIAL PROG CTR/JJAEP, Public, (972) 548-6458, 10,10,75070
482985021181, VALLEY CREEK EL, Public, (469) 742-4800, KG, 5, 75070
A0990111, CENTENNIAL MONTESSORI ACADEMY, Private, (972) 548-9000, PK, 3, 75070
A0903504, CORNERSTONE CHRISTIAN ACADEMY, Private, (972) 562-8200, PK, 12, 75070
A0303083, HOLY FAMILY SCHOOL, Private, (972) 562-5476, PK, KG, 75070
A0903572, PRIMROSE SCHOOL OF ELDORADO, Private, (972) 529-2091, PK, KG, 75070
482985008486, COUNTY RESIDENTIAL CENTER, Public, (972) 547-5400, 6, 12, 75071
482985011171, DR JACK COCKRILL MIDDLE SCHOOL, Public, (469) 742-7900, 6, 8, 75071
482985010503, GARY AND BOBBYE JACK MINSHEW EL, Public, (469) 742-7300, KG, 5, 75071
482985011424, HERMAN LAWSON EARLY CHILDHOOD CENTER, Public, (469) 742-2400, PK, KG, 75071
482985010504, J B WILMETH EL, Public, (469) 742-7400, KG, 5, 75071
483600011847, JOHN A BAKER, Public, (469) 219-2120, PK, 4, 75071
482985012083, LIZZIE NELL CUNDIFF MCCLURE EL, Public, (469) 742-9450, KG, 5, 75071
A0503456, CONCORDIA CHRISTIAN ACADEMY, Private, (972) 562-9944, PK, 5, 75071
A9904229, GOOD SHEPHERD MONTESSORI SCHOOL, Private, (972) 547-4767, PK, 7, 75071
A9504076, MCKINNEY CHRISTIAN ACADEMY, Private, (972) 544-2658, PK, 12, 75071
A0303080, NORTH TEXAS CHRISTIAN ACADEMY, Private, (214) 544-1794, KG, 6, 75071
A0771844, PRIMROSE SCHOOL OF STONE BROOKE, Private, (972) 529-6863, PK, KG, 75071
483510009654, ALLAN K & CAROLYN H BIRD EDUCATION CENTER, Public, (469) 752-2200, KG, 8, 75074
483510003955, ARMSTRONG MIDDLE, Public, (469) 752-4600, 6, 8, 75074
483510012132, BARRON EL, Public, (469) 752-0200, KG, 5, 75074
483510003957, BOWMAN MIDDLE, Public, (469) 752-4800, 6, 8, 75074
483510005572, DOOLEY EL, Public, (469) 752-1100, KG, 5, 75074
483510003961, FORMAN EL, Public, (469) 752-1200, KG, 5, 75074
483510010511, HEAD START, Public, (469) 752-7160, PK,PK,75074
483510009171, HICKEY EL SCHOOL, Public, (469) 752-4100, KG, 5, 75074
483510012187, ISAACS EARLY CHILDHOOD SCHOOL, Public, (469) 752-3480, PK,PK,75074
483510010508, MCCALL EL, Public, (469) 752-4500, KG, 5, 75074
483510003966, MEADOWS EL, Public, (469) 752-2400, KG, 5, 75074
483510003967, MEMORIAL EL, Public, (469) 752-2500, KG, 5, 75074
483510003968, MENDENHALL EL, Public, (469) 752-2600, KG, 5, 75074
483510010507, NIGHT SCH, Public, (469) 752-8300, 9, 11, 75074
483510011174, OTTO MIDDLE, Public, (469) 752-8500, 6, 8, 75074
483510005796, PLANO EAST SR H S, Public, (469) 752-9000, 11, 12, 75074
483510009175, PLANO FAMILY LITERACY, Public, (469) 752-2250, PK,PK,75074
483510003977, WILLIAMS H S, Public, (469) 752-8300, 9, 10, 75074
A0790162, BRIDGE BUILDER ACADEMY, Private, (972) 516-8844, 1, 12, 75074
02060068, FAITH LUTHERAN SCHOOL, Private, (972) 423-7448, PK, 10, 75074
A0903563, PLANO CHRISTIAN ACADEMY, Private, (972) 422-1722, KG, 12, 75074
483510012193, C A MCMILLEN H S, Public, (469) 752-8100, 9, 10, 75075
483510003960, DAVIS EL, Public, (469) 752-1000, PK, 5, 75075
483510008489, E-SCHOOL, Public, (469) 752-8894, 9, 12, 75075
483510003962, HAGGARD MIDDLE, Public, (469) 752-5400, 6, 8, 75075
483510003963, HARRINGTON EL, Public, (469) 752-1500, PK, 5, 75075
483510010510, HOSPITAL/HOMEBOUND, Public, (469) 752-8246, N ,N ,75075
483510008493, ITINERANT SP ED, Public, (469) 752-8246, PK, 12, 75075
483510003965, JACKSON EL, Public, (469) 752-2100, KG, 5, 75075
483510011176, MCCREARY RD EL, Public, (469) 752-8100, N ,N ,75075
483510008490, NEW MIDDLE SCHOOL, Public, (469) 752-8100, N ,N ,75075
483510011175, PARKER ROAD EL, Public, (469) 752-8100, N ,N ,75075
483510009168, PLANO JJAEP, Public, (469) 752-8100, 12,12,75075
483510003969, PLANO SR H S, Public, (469) 752-9300, 11, 12, 75075
483510008492, REGIONAL DAY SCH FOR DEAF, Public, (469) 752-8100, PK, 5, 75075
483510003970, SAIGLING EL, Public, (469) 752-3000, KG, 5, 75075
483510003971, SHEPARD EL, Public, (469) 752-3100, KG, 5, 75075
483510003972, SIGLER EL, Public, (469) 752-3200, KG, 5, 75075
483510003974, VINES H S, Public, (469) 752-7800, 9, 10, 75075
483510003975, WEATHERFORD EL, Public, (469) 752-3600, KG, 5, 75075
483510003978, WILSON MIDDLE, Public, (469) 752-6700, 6, 8, 75075
A9300984, BETHANY CHRISTIAN SCHOOL, Private, (972) 596-5811, PK, 12, 75075
A0503427, JOHN PAUL II HIGH SCHOOL, Private, (972) 867-0005, 9, 12, 75075
01932564, ST MARK CATHOLIC SCHOOL, Private, (972) 578-0610, PK, 8, 75075
A0109514, WILLOW BEND ACADEMY, Private, (972) 599-7882, 6, 12, 75075
483600010515, COLLIN CO J J A E P, Public, (469) 219-2000, 11,11,75078
483600012464, CYNTHIA A COCKRELL EL, Public, (469) 219-2000, N ,N ,75078
483600010517, JUDY RUCKER EL, Public, (469) 219-2100, PK, 4, 75078
483600021184, LORENE ROGERS MIDDLE, Public, (469) 219-2150, 5, 8, 75078
483600004064, PROSPER H S, Public, (469) 219-2180, 9, 12, 75078
483600004063, R STEVE FOLSOM EL, Public, (469) 219-2110, PK, 4, 75078
483600012465, REYNOLDS MIDDLE, Public, (469) 219-2165, 7, 8, 75078
483510007222, BARKSDALE EL, Public, (469) 752-0100, KG, 5, 75093
483510009172, BEATY EARLY CHILDHOOD SCHOOL, Public, (469) 752-4200, PK,PK,75093
483510006600, BRINKER EL, Public, (469) 752-0500, KG, 5, 75093
483510008152, CENTENNIAL EL, Public, (469) 752-0700, KG, 5, 75093
483510021016, DAFFRON EL, Public, (469) 752-0900, PK, 5, 75093
483510007836, HIGHTOWER EL, Public, (469) 752-1800, KG, 5, 75093
483510006029, HUFFMAN EL, Public, (469) 752-1900, KG, 5, 75093
483510008150, PLANO WEST SENIOR H S, Public, (469) 752-9600, 11, 12, 75093
483510006897, RENNER MIDDLE, Public, (469) 752-5800, 6, 8, 75093
483510006028, SHEPTON H S, Public, (469) 752-7600, 9, 10, 75093
A0903482, AMERICAN MONTESSORI CAMPUS, Private, (972) 473-2600, PK, KG, 75093
A0771820, PARKWOOD MONTESSORI ACADEMY, Private, (972) 781-2900, PK, KG, 75093
A9904275, PRESTONWOOD CHRISTIAN ACADEMY, Private, (972) 820-5063, PK, 12, 75093
A9304165, PRINCE OF PEACE CATHOLIC SCHOOL, Private, (972) 380-5505, PK, 8, 75093
A0771849, RICHMOND HILL MONTESSORI, Private, (972) 250-1406, PK, 12, 75093
A0771886, WINDHAVEN ACADEMY, Private, (972) 608-2955, PK, KG, 75093
483510009170, BOGGESS EL, Public, (469) 752-4000, KG, 5, 75094
483510010509, MARTHA HUNT EL, Public, (469) 752-4400, KG, 5, 75094
483510009639, MURPHY MIDDLE, Public, (469) 752-7000, 6, 8, 75094
A0702220, HERITAGE MONTESSORI ACADEMY LLC, Private, (922) 424-3137, PK, KG, 75094
A0771812, OAK BROOK SCHOOL, Private, (972) 423-0003, PK, KG, 75094
481485010523, CADDO MILLS, Public, (972) 843-8400, N ,N ,75173
481485008496, COLLIN CO J J A E P, Public, (972) 843-8400, 8,8,75173
481485000987, COMMUNITY H S, Public, (972) 843-8414, 9, 12, 75173
481485005856, COMMUNITY MIDDLE, Public, (972) 843-8411, 6, 8, 75173
481485000986, MCCLENDON EL, Public, (972) 843-8409, PK, 5, 75173
481485012184, NESMITH EL, Public, (972) 843-8620, KG, 5, 75173
481485010524, PLANO SPECIAL SERVICES, Public, (972) 843-8400, N ,N ,75173
481485012628, SERENITY HIGH, Public, (972) 843-8400, N ,N ,75173
483585004060, CLARK JR HIGH, Public, (469) 952-5400, 7, 8, 75407
483585008494, COLLIN CO J J A E P, Public, (469) 952-5400, 5,5,75407
483585010512, GODWIN EL, Public, (469) 952-5400, KG, 5, 75407
483585012208, HARPER EL, Public, (469) 952-5400, KG, 5, 75407
483585008153, HUDDLESTON INTERMEDIATE, Public, (469) 952-5400, 6,6,75407
483585004058, LACY ELEMENTARY, Public, (469) 952-5400, PK, 5, 75407
483585004059, PRINCETON H S, Public, (469) 952-5400, 9, 12, 75407
483585009641, PRINCETON SPECIAL PROGRAMS CENTER, Public, (469) 952-5400, KG, 12, 75407
483585010513, PRINCETON/FARMERSVILLE DAEP, Public, (469) 952-5400, 1, 12, 75407
480834010491, ANNA DAEP, Public, (972) 924-1000, N ,N ,75409
480834000207, ANNA H S, Public, (972) 924-1100, 9, 12, 75409
480834006502, ANNA MIDDLE, Public, (972) 924-1200, 6, 8, 75409
480834000206, JOE K BRYANT EL, Public, (972) 924-1300, PK, 5, 75409
480834011456, SUE EVELYN RATTAN EL, Public, (972) 924-1400, PK, 5, 75409
481059000530, BLUE RIDGE EL, Public, (972) 752-5857, PK, 4, 75424
481059000531, BLUE RIDGE H S, Public, (972) 752-5707, 9, 12, 75424
481059011181, BLUE RIDGE INTERMEDIATE CAMPUS, Public, (972) 752-4243, 5, 6, 75424
481059000435, BLUE RIDGE MIDDLE, Public, (972) 752-4243, 7, 8, 75424
481059010522, JOHN R ROACH, Public, (972) 752-5707, 9,9,75424
481908009486, COLLIN CO J J A E P, Public, (972) 782-6601, 10,10,75442
481908001777, FARMERSVILLE H S, Public, (972) 548-0576, 9, 12, 75442
481908008728, FARMERSVILLE INTERMEDIATE SCHOOL, Public, (972) 782-8108, 2, 5, 75442
481908001778, FARMERSVILLE JUNIOR HIGH SCHOOL, Public, (972) 782-6202, 6, 8, 75442
481908001779, TATUM EL, Public, (972) 782-7251, PK, 1, 75442
483012009644, COLLIN CO J J A E P, Public, (972) 837-2411, 9,9,75454
483012006143, HARRY MCKILLOP EL, Public, (972) 837-2632, PK, 4, 75454
483012010505, MELISSA H S, Public, (972) 837-4216, 9, 12, 75454
483012003379, MELISSA MIDDLE, Public, (972) 837-4355, 7, 9, 75454
483012011883, MELISSA RIDGE INTERMED, Public, (972) 837-4530, 5, 6, 75454
A0109386, GREENHILL SCHOOL, Private, (972) 628-5400, PK, 12, 75001
X1328481, TRINITY CHRISTIAN ACADEMY, Private, (972) 931-8325, KG, 12, 75001
481305000800, BLANTON EL, Public, (972) 968-1100, PK, 5, 75006
481305000793, CARROLLTON EL, Public, (972) 968-1200, PK, 5, 75006
481305000794, CENTRAL EL, Public, (972) 968-1300, PK, 5, 75006
481305000795, COUNTRY PLACE EL, Public, (972) 968-1400, KG, 5, 75006
481305000799, GOOD EL, Public, (972) 968-1900, KG, 5, 75006
481305005671, GRIMES EDUCATION CENTER, Public, (972) 968-5600, 9, 12, 75006
481305011191, KELLY PRE-KINDERGARTEN CENTER, Public, (972) 968-6000, PK,PK,75006
481305000801, MCCOY EL, Public, (972) 968-2300, KG, 5, 75006
481305006834, MCLAUGHLIN EL, Public, (972) 968-2500, KG, 2, 75006
481305000804, PERRY MIDDLE, Public, (972) 968-4400, 6, 8, 75006
481305007564, POLK MIDDLE, Public, (972) 968-4600, 6, 8, 75006
481305010557, PRE-K CTR II, Public, (972) 968-6600, PK,PK,75006
481305007241, SALAZAR DISTRICT ALTERNATIVE EDUCATION PROGRAM, Public, (972) 968-5900, 1, 12, 75006
481305000803, SMITH H S, Public, (972) 968-5200, 9, 12, 75006
480001609532, TEXANS CAN AT CARROLLTON-FARMERS BRANCH, Public, (972) 243-2178, 9, 12, 75006
481305000806, TURNER H S, Public, (972) 968-5400, 9, 12, 75006
AA000003, A CHILDS GARDEN MONTESSORI SCHOOL, Private, (972) 446-2663, PK, KG, 75006
A0771813, OAK CREST PRIVATE SCHOOL, Private, (214) 483-5400, PK, 8, 75006
A0702274, THE ST ANTHONY SCHOOL, Private, (214) 443-1237, KG, 12, 75006
481305010554, LA VILLITA MIDDLE SCHOOL, Public, (972) 968-6100, N ,N ,75011
482442008188, CLIFTON EARLY CHILDHOOD, Public, (972) 600-4200, PK,PK,75015
482442009618, JACKIE MAE TOWNSELL EL, Public, (972) 600-5500, KG, 5, 75015
482442008190, KINKEADE EARLY CHILDHOOD, Public, (972) 600-6500, PK,PK,75015
482442010598, LADY BIRD JOHNSON MIDDLE, Public, (972) 600-5000, 6, 8, 75015
482442008189, PIERCE EARLY CHILDHOOD, Public, (972) 600-3700, PK,PK,75015
481521006380, AUSTIN EL, Public, (214) 496-7300, PK, 5, 75019
481521001028, COPPELL H S, Public, (214) 496-6100, 9, 12, 75019
481521003702, COPPELL MIDDLE EAST, Public, (214) 496-6600, 6, 8, 75019
481521007862, COPPELL MIDDLE NORTH, Public, (214) 496-7100, 6, 8, 75019
481521006936, COPPELL MIDDLE WEST, Public, (214) 496-8600, 6, 8, 75019
481521007262, COTTONWOOD CREEK EL, Public, (214) 496-8300, PK, 5, 75019
481521007863, DENTON CREEK EL, Public, (214) 896-8100, PK, 5, 75019
481521008527, EDUCATION ANNEX (AEP/DAEP), Public, (214) 496-8032, KG, 12, 75019
481521003710, LAKESIDE EL, Public, (214) 496-7600, PK, 5, 75019
480141512439, MANARA ACADEMY, Public, (972) 304-1155, KG, 6, 75019
481521021215, MOCKINGBIRD EL, Public, (214) 496-8200, PK, 5, 75019
