240033001429, CENTERVILLE ELEMENTARY, 3601 CARRIAGE HILL DR, FREDERICK, MD 21704, (240) 566-0100, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
240066001265, FOUNTAIN ROCK ELEMENTARY, 17145 LAPPANS RD, HAGERSTOWN, MD 21740, (301) 766-8146, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
240066001267, FUNKSTOWN ELEMENTARY, 23 FUNKSTOWN RD, HAGERSTOWN, MD 21740, (301) 766-8162, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, PK,KG,,
240066001273, LINCOLNSHIRE ELEMENTARY, 17545 LINCOLNSHIRE RD, HAGERSTOWN, MD 21740, (301) 766-8206, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, PK,5,,
240066001289, MARSHALL STREET SCHOOL, 1350 MARSHALL ST, HAGERSTOWN, MD 21740, (301) 766-8214, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,12,,
240066001278, PANGBORN ELEMENTARY, 195 PANGBORN BLVD, HAGERSTOWN, MD 21740, (301) 766-8282, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
240066001667, ROCKLAND WOODS ELEMENTARY, 18201 ROCKLAND DRIVE, HAGERSTOWN, MD 21740, (301) 766-8485, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
240066001283, SALEM AVENUE ELEMENTARY, 1323 SALEM AVE EXT, HAGERSTOWN, MD 21740, (301) 766-8313, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, PK,5,,
240066001288, SOUTH HAGERSTOWN HIGH, 1101 S POTOMAC ST, HAGERSTOWN, MD 21740, (301) 766-8369, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,9,12,,
240066001484, WASHINGTON COUNTY JOB DEVELOPMENT CENTER, 1350 MARSHALL ST, HAGERSTOWN, MD 21740, (301) 766-8214, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,11,12,,
240066000308, WASHINGTON COUNTY TECHNICAL HIGH, 50 W OAK RIDGE DR, HAGERSTOWN, MD 21740, (301) 766-8050, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,11,12,,
240066001293, WESTERN HEIGHTS MIDDLE, 1300 MARSHALL ST, HAGERSTOWN, MD 21740, (301) 766-8403, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,6,8,,
240066001296, WINTER STREET ELEMENTARY, 59 WINTER ST, HAGERSTOWN, MD 21740, (301) 766-8439, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, PK,4,,
580883, BROADFORDING CHRISTIAN ACADEMY, 13535 BROADFORDING CHURCH RD, HAGERSTOWN, MD 21740, (301) 797-8886, ξξ-ξξWASHINGTON COUNTY, Private, PK,12,,
A9902202, EBENEZER CHRISTIAN SCHOOL, 17618 VIRGINIA AVE, HAGERSTOWN, MD 21740, (301) 791-4801, ξξ-ξξWASHINGTON COUNTY, Private,1,12,,
580307, GRACE ACADEMY, 13321 CEARFOSS PIKE, HAGERSTOWN, MD 21740, (301) 733-2033, ξξ-ξξWASHINGTON COUNTY, Private, PK,12,,
K9500282, HAGERSTOWN CHILDRENS SCHOOL, 141 S POTOMAC ST, HAGERSTOWN, MD 21740, (301) 739-6886, ξξ-ξξWASHINGTON COUNTY, Private, PK,KG,,
A9103212, HAGERSTOWN MENNONITE FELLOWSHIP SCHOOL, 12403 HUYETT LN, HAGERSTOWN, MD 21740, (301) 797-2074, ξξ-ξξWASHINGTON COUNTY, Private,1,8,,
581366, HERITAGE ACADEMY INC, 12215 WALNUT PT W, HAGERSTOWN, MD 21740, (301) 582-2600, ξξ-ξξWASHINGTON COUNTY, Private, PK,12,,
581377, HIGHLAND VIEW ACADEMY, 10100 ACADEMY DR, HAGERSTOWN, MD 21740, (301) 739-8480, ξξ-ξξWASHINGTON COUNTY, Private,9,12,,
A9103217, HILLSIDE MENNONITE SCHOOL, 11610 GREENCASTLE PIKE, HAGERSTOWN, MD 21740, (301) 223-6438, ξξ-ξξWASHINGTON COUNTY, Private,1,11,,
580985, HUYETTS MENNONITE SCHOOL, 16404 NATIONAL PIKE, HAGERSTOWN, MD 21740, (301) 790-2252, ξξ-ξξWASHINGTON COUNTY, Private,1,10,,
581424, MT AETNA ADVENTIST ELEMENTARY SCHOOL, 10207 CRYSTAL FALLS DR, HAGERSTOWN, MD 21740, (301) 824-3875, ξξ-ξξWASHINGTON COUNTY, Private, PK,8,,
577837, ST MARY CATHOLIC SCHOOL, 218 W WASHINGTON ST, HAGERSTOWN, MD 21740, (301) 733-1184, ξξ-ξξWASHINGTON COUNTY, Private, KG,8,,
580974, TRUTH CHRISTIAN ACADEMY, 41 BRYAN CIR, HAGERSTOWN, MD 21740, (301) 733-0712, ξξ-ξξWASHINGTON COUNTY, Private, KG,12,,
A9701888, SHININGTREE SCHOOL, PO BOX 1307, HAGERSTOWN, MD 21741, (301) 824-7767, ξξ-ξξWASHINGTON COUNTY, Private,7,9,,
240066000418, EASTERN ELEMENTARY, 1320 YALE DR, HAGERSTOWN, MD 21742, (301) 766-8122, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,1,5,,
240066001266, FOUNTAINDALE ELEMENTARY, 901 NORTHERN AVE, HAGERSTOWN, MD 21742, (301) 766-8156, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
240066001275, NORTH HAGERSTOWN HIGH, 1200 PENNSYLVANIA AVE, HAGERSTOWN, MD 21742, (301) 766-8238, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,9,12,,
240066001276, NORTHERN MIDDLE, 701 NORTHERN AVE, HAGERSTOWN, MD 21742, (301) 766-8258, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,6,8,,
240066001277, OLD FORGE ELEMENTARY, 21615 OLD FORGE RD, HAGERSTOWN, MD 21742, (301) 766-8273, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
240066000752, PARAMOUNT ELEMENTARY, 19410 LONGMEADOW RD, HAGERSTOWN, MD 21742, (301) 766-8289, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
240066001281, POTOMAC HEIGHTS ELEMENTARY, 301 E MAGNOLIA AVE, HAGERSTOWN, MD 21742, (301) 766-8305, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
240066090481, ROBINWOOD EARLY CHILDHOOD CENTER, 11402 ROBINWOOD DR, HAGERSTOWN, MD 21742, (301) 791-4332, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, PK,PK,,
A9701819, LAUREL HALL SCHOOL - HAGERSTOWN, PO BOX 1945, HAGERSTOWN, MD 21742, (301) 733-0330, ξξ-ξξWASHINGTON COUNTY, Private,3,12,,
579936, PARADISE MENNONITE SCHOOL, 19308 AIR VIEW RD, HAGERSTOWN, MD 21742, (301) 733-1368, ξξ-ξξWASHINGTON COUNTY, Private,1,11,,
577848, ST MARIA GORETTI HIGH SCHOOL, 1535 OAK HILL AVE, HAGERSTOWN, MD 21742, (301) 739-4266, ξξ-ξξWASHINGTON COUNTY, Private,9,12,,
A0901776, STONE BRIDGE ACADEMY, PO BOX 1945 AT BROOK LANE HEALTH SERVICE, HAGERSTOWN, MD 21742, (301) 733-0331, ξξ-ξξWASHINGTON COUNTY, Private,4,11,,
240066001269, HANCOCK ELEMENTARY, 290 W MAIN ST, HANCOCK, MD 21750, (301) 766-8178, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, PK,5,,
240066001270, HANCOCK MIDDLE SENIOR HIGH, 289 W MAIN ST, HANCOCK, MD 21750, (301) 766-8186, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,6,12,,
240033001165, OAKDALE ELEMENTARY, 9850 OLD NATIONAL PIKE, IJAMSVILLE, MD 21754, (240) 236-3300, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,5,,
240033001688, OAKDALE HIGH SCHOOL, 5850 EAGLEHEAD DRIVE, IJAMSVILLE, MD 21754, (240) 566-9400, ξξ-ξξFREDERICK COUNTY COUNTY, Public,9,12,,
240033001163, OAKDALE MIDDLE, 9840 OLD NATIONAL PIKE, IJAMSVILLE, MD 21754, (240) 236-5500, ξξ-ξξFREDERICK COUNTY COUNTY, Public,6,8,,
240033000616, URBANA HIGH, 3471 CAMPUS DR, IJAMSVILLE, MD 21754, (240) 236-7600, ξξ-ξξFREDERICK COUNTY COUNTY, Public,9,12,,
240033001536, URBANA MIDDLE, 3511 PONTIUS CT, IJAMSVILLE, MD 21754, (240) 566-9200, ξξ-ξξFREDERICK COUNTY COUNTY, Public,6,8,,
240033000392, WINDSOR KNOLLS MIDDLE, 11150 WINDSOR RD, IJAMSVILLE, MD 21754, (240) 236-5000, ξξ-ξξFREDERICK COUNTY COUNTY, Public,6,8,,
A9902217, FRIENDS MEETING SCHOOL, 3232 GREEN VALLEY RD, IJAMSVILLE, MD 21754, (301) 798-0288, ξξ-ξξFREDERICK COUNTY, Private, PK,9,,
240033000653, VALLEY ELEMENTARY, 3519 JEFFERSON PIKE, JEFFERSON, MD 21755, (240) 236-3000, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,5,,
A9701909, THE JEFFERSON SCHOOL, PO BOX 9, JEFFERSON, MD 21755, (240) 315-0279, ξξ-ξξFREDERICK COUNTY, Private,7,12,,
240033001442, NEW MIDWAY/WOODSBORO ELEMENTARY, 12226 WOODSBORO PIKE, KEYMAR, MD 21757, (240) 236-1500, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,5,,
240066001280, PLEASANT VALLEY ELEMENTARY, 1707 ROHRERSVILLE RD, KNOXVILLE, MD 21758, (301) 766-8297, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
240066001274, MAUGANSVILLE ELEMENTARY, 18023 MAUGANS AVE, MAUGANSVILLE, MD 21767, (301) 766-8230, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
240033000639, MIDDLETOWN ELEMENTARY, 201 E GREEN ST, MIDDLETOWN, MD 21769, (240) 236-1100, ξξ-ξξFREDERICK COUNTY COUNTY, Public,3,5,,
240033000641, MIDDLETOWN HIGH, 200 SCHOOLHOUSE DR, MIDDLETOWN, MD 21769, (240) 236-7400, ξξ-ξξFREDERICK COUNTY COUNTY, Public,9,12,,
240033000640, MIDDLETOWN MIDDLE, 100 MARTHA MASON ST, MIDDLETOWN, MD 21769, (240) 236-4200, ξξ-ξξFREDERICK COUNTY COUNTY, Public,6,8,,
240033001566, MIDDLETOWN PRIMARY, 403 FRANKLIN ST, MIDDLETOWN, MD 21769, (240) 566-0200, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,2,,
A0307500, LUCY SCHOOL, 9117 FROSTOWN RD, MIDDLETOWN, MD 21769, (301) 293-1163, ξξ-ξξFREDERICK COUNTY, Private, PK,2,,
240033000635, GREEN VALLEY ELEMENTARY, 11501 FINGERBOARD RD, MONROVIA, MD 21770, (240) 236-3400, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
240033001412, KEMPTOWN ELEMENTARY, 3456 KEMPTOWN CHURCH RD, MONROVIA, MD 21770, (240) 236-3500, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
240021000538, MOUNT AIRY ELEMENTARY, 405 N MAIN ST, MOUNT AIRY, MD 21771, (410) 751-3540, ξξ-ξξCARROLL COUNTY COUNTY, Public,3,5,,
240021000539, MOUNT AIRY MIDDLE, 102 WATERSVILLE RD, MOUNT AIRY, MD 21771, (410) 751-3554, ξξ-ξξCARROLL COUNTY COUNTY, Public,6,8,,
240021001414, PARR'S RIDGE ELEMENTARY, 202 WATERSVILLE RD, MT AIRY, MD 21771, (410) 386-1542, ξξ-ξξCARROLL COUNTY COUNTY, Public, PK,2,,
240033000159, TWIN RIDGE ELEMENTARY, 1106 LEAFY HOLLOW CIRCLE, MT AIRY, MD 21771, (240) 236-2300, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,5,,
A0501804, CORNERSTONE ACADEMY, 17455 OLD FREDERICK RD, MOUNT AIRY, MD 21771, (301) 829-4730, ξξ-ξξHOWARD COUNTY, Private,8,12,,
A0701191, GLENWOOD COUNTRY ELEMENTARY & MIDDLE SCHOOL2480,  ROXBURY MILLS RD STES 10 AND 11, MOUNT AIRY, MD 21771, (410) 489-6959, ξξ-ξξHOWARD COUNTY, Private, Ungraded,Ungraded,,
A9704314, LITTLE TRAVELERS DAYCARE & LEARNING CENTERPO B, OX 970, MOUNT AIRY, MD 21771, (301) 829-5272, ξξ-ξξFREDERICK COUNTY, Private, PK,KG,,
AA890421, MOUNT AIRY CHRISTIAN ACADEMY, 16700 OLD FREDERICK RD, MOUNT AIRY, MD 21771, (410) 489-4321, ξξ-ξξHOWARD COUNTY, Private, KG,12,,
240033000642, MYERSVILLE ELEMENTARY, 429 MAIN STREET, MYERSVILLE, MD 21773, (240) 236-1900, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
240033000659, WOLFSVILLE ELEMENTARY, 12520 WOLFSVILLE RD, MYERSVILLE, MD 21773, (240) 236-2250, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,5,,
240033000847, DEER CROSSING ELEMENTARY, 10601 FINN DR, NEW MARKET, MD 21774, (240) 236-5900, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,5,,
240033000643, NEW MARKET ELEMENTARY, 93 W MAIN ST, NEW MARKET, MD 21774, (240) 236-1300, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,5,,
240033001379, NEW MARKET MIDDLE, 125 W MAIN ST, NEW MARKET, MD 21774, (240) 236-4600, ξξ-ξξFREDERICK COUNTY COUNTY, Public,6,8,,
240021000540, NEW WINDSOR MIDDLE, 1000 GREEN VALLEY RD, NEW WINDSOR, MD 21776, (410) 751-3355, ξξ-ξξCARROLL COUNTY COUNTY, Public,6,8,,
240033000648, SABILLASVILLE ELEMENTARY, 16210-B SABILLASVILLE RD, SABILLASVILLE, MD 21780, (240) 236-6000, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
579845, ST JAMES SCHOOL, 17641 COLLEGE RD, SAINT JAMES, MD 21781, (301) 733-9330, ξξ-ξξWASHINGTON COUNTY, Private,8,12,,
240066001284, SHARPSBURG ELEMENTARY, 17525 SHEPHERDSTOWN PIKE, SHARPSBURG, MD 21782, (301) 766-8321, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, PK,5,,
240066001286, SMITHSBURG ELEMENTARY, 67 N MAIN ST, SMITHSBURG, MD 21783, (301) 766-8329, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, PK,5,,
240066001285, SMITHSBURG HIGH, 66 N MAIN ST, SMITHSBURG, MD 21783, (301) 766-8337, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,9,12,,
240066001287, SMITHSBURG MIDDLE, 68 N MAIN ST, SMITHSBURG, MD 21783, (301) 766-8353, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,6,8,,
240021000529, CARROLLTOWNE ELEMENTARY, 6542 RIDGE RD, SYKESVILLE, MD 21784, (410) 751-3530, ξξ-ξξCARROLL COUNTY COUNTY, Public, PK,5,,
240021001161, CENTURY HIGH, 355 RONSDALE RD, ELDERSBURG, MD 21784, (410) 386-4400, ξξ-ξξCARROLL COUNTY COUNTY, Public,9,12,,
240021000531, ELDERSBURG ELEMENTARY, 1021 JOHNSVILLE RD, SYKESVILLE, MD 21784, (410) 751-3520, ξξ-ξξCARROLL COUNTY COUNTY, Public, PK,5,,
240021000534, FREEDOM DISTRICT ELEMENTARY, 5626 SYKESVILLE RD, SYKESVILLE, MD 21784, (410) 751-3525, ξξ-ξξCARROLL COUNTY COUNTY, Public, KG,5,,
240021001394, LIBERTY HIGH, 5855 BARTHOLOW RD, SYKESVILLE, MD 21784, (410) 751-3560, ξξ-ξξCARROLL COUNTY COUNTY, Public,9,12,,
240021000977, LINTON SPRINGS ELEMENTARY, 375 RONSDALE RD, SYKESVILLE, MD 21784, (410) 751-3280, ξξ-ξξCARROLL COUNTY COUNTY, Public, KG,5,,
240021000537, MECHANICSVILLE ELEMENTARY, 3838 SYKESVILLE RD, SYKESVILLE, MD 21784, (410) 751-3510, ξξ-ξξCARROLL COUNTY COUNTY, Public, KG,5,,
240021000835, OKLAHOMA ROAD MIDDLE, 6300 OKLAHOMA RD, SYKESVILLE, MD 21784, (410) 751-3600, ξξ-ξξCARROLL COUNTY COUNTY, Public,6,8,,
240021090466, PINEY RIDGE ELEMENTARY, 6315 FREEDOM AVE, SYKESVILLE, MD 21784, (410) 751-3535, ξξ-ξξCARROLL COUNTY COUNTY, Public, KG,5,,
240021000546, SOUTH CARROLL HIGH, 1300 W OLD LIBERTY RD, SYKESVILLE, MD 21784, (410) 751-3575, ξξ-ξξCARROLL COUNTY COUNTY, Public,9,12,,
240021000547, SYKESVILLE MIDDLE, 7301 SPRINGFIELD AVE, SYKESVILLE, MD 21784, (410) 751-3545, ξξ-ξξCARROLL COUNTY COUNTY, Public,6,8,,
A0103966, FRIENDSHIP SCHOOL, 1545 PROGRESS WAY, ELDERSBURG, MD 21784, (410) 552-6880, ξξ-ξξCARROLL COUNTY, Private,1,8,,
A0104049, ST STEPHENS CLASSICAL CHRISTIAN ACADEMY, 2275 LIBERTY RD, ELDERSBURG, MD 21784, (410) 795-1249, ξξ-ξξCARROLL COUNTY, Private, PK,12,,
240021000543, NORTHWEST MIDDLE, 99 KINGS DRIVE, TANEYTOWN, MD 21787, (410) 751-3270, ξξ-ξξCARROLL COUNTY COUNTY, Public,6,8,,
240021000548, TANEYTOWN ELEMENTARY, 100 KINGS DRIVE, TANEYTOWN, MD 21787, (410) 751-3260, ξξ-ξξCARROLL COUNTY COUNTY, Public, PK,5,,
240033000629, CATOCTIN HIGH, 14745 SABILLASVILLE RD, THURMONT, MD 21788, (240) 236-8100, ξξ-ξξFREDERICK COUNTY COUNTY, Public,9,12,,
240033000636, LEWISTOWN ELEMENTARY, 11119 HESSONG BRIDGE RD, THURMONT, MD 21788, (240) 236-3750, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
240033000650, THURMONT ELEMENTARY, 805 E MAIN ST, THURMONT, MD 21788, (240) 236-0900, ξξ-ξξFREDERICK COUNTY COUNTY, Public,3,5,,
240033000651, THURMONT MIDDLE, 408 E MAIN ST, THURMONT, MD 21788, (240) 236-5100, ξξ-ξξFREDERICK COUNTY COUNTY, Public,6,8,,
240033001166, THURMONT PRIMARY, 7989 ROCKY RIDGE RD, THURMONT, MD 21788, (240) 236-2800, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,2,,
A9701865, PIONEER BAPTIST CHURCH SCHOOL, PO BOX 355, THURMONT, MD 21788, (301) 271-7259, ξξ-ξξFREDERICK COUNTY, Private, KG,12,,
240021000532, ELMER A. WOLFE ELEMENTARY, 119 N MAIN ST, UNION BRIDGE, MD 21791, (410) 751-3307, ξξ-ξξCARROLL COUNTY COUNTY, Public, PK,5,,
240021000533, FRANCIS SCOTT KEY HIGH, 3825 BARK HILL RD, UNION BRIDGE, MD 21791, (410) 751-3320, ξξ-ξξCARROLL COUNTY COUNTY, Public,9,12,,
240033000620, GLADE ELEMENTARY, 9525 GLADE RD, WALKERSVILLE, MD 21793, (240) 236-2100, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,5,,
240033000654, WALKERSVILLE ELEMENTARY, 83 FREDERICK STREET, WALKERSVILLE, MD 21793, (240) 236-1000, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
240033000655, WALKERSVILLE HIGH, 81 FREDERICK STREET, WALKERSVILLE, MD 21793, (240) 236-7200, ξξ-ξξFREDERICK COUNTY COUNTY, Public,9,12,,
240033000656, WALKERSVILLE MIDDLE, 55 FREDERICK STREET, WALKERSVILLE, MD 21793, (240) 236-4400, ξξ-ξξFREDERICK COUNTY COUNTY, Public,6,8,,
240042000760, WEST FRIENDSHIP ELEMENTARY, 12500 FREDERICK ROAD, WEST FRIENDSHIP, MD 21794, (410) 313-5512, ξξ-ξξHOWARD COUNTY COUNTY, Public, KG,5,,
240066001271, HICKORY ELEMENTARY, 11101 HICKORY SCHOOL RD, WILLIAMSPORT, MD 21795, (301) 766-8198, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, PK,5,,
240066001290, SPRINGFIELD MIDDLE, 334 SUNSET AVE, WILLIAMSPORT, MD 21795, (301) 766-8389, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,6,8,,
240066001294, WILLIAMSPORT ELEMENTARY, 1 S CLIFTON DR, WILLIAMSPORT, MD 21795, (301) 766-8415, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
240066001295, WILLIAMSPORT HIGH, 5 S CLIFTON DR, WILLIAMSPORT, MD 21795, (301) 766-8423, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,9,12,,
580817, CEDAR RIDGE SCHOOL, PO BOX 439, WILLIAMSPORT, MD 21795, (301) 582-0282, ξξ-ξξWASHINGTON COUNTY, Private,2,12,,
240042000741, LISBON ELEMENTARY, 15901 FREDERICK RD, WOODBINE, MD 21797, (410) 313-5506, ξξ-ξξHOWARD COUNTY COUNTY, Public, KG,5,,
A0104002, GLENWOOD COUNTRY DAY SCHOOL, 14785 BUSHY PARK RD, WOODBINE, MD 21797, (410) 489-5203, ξξ-ξξHOWARD COUNTY, Private, PK,KG,,
240069001315, CHARLES H. CHIPMAN ELEMENTARY, 711 LAKE ST, SALISBURY, MD 21801, (410) 677-5814, ξξ-ξξWICOMICO COUNTY COUNTY, Public, PK,2,,
240069001307, NORTH SALISBURY ELEMENTARY, 1213 EMERSON AVE, SALISBURY, MD 21801, (410) 677-5807, ξξ-ξξWICOMICO COUNTY COUNTY, Public,3,5,,
240069001310, PEMBERTON ELEMENTARY, 1300 PEMBERTON DR, SALISBURY, MD 21801, (410) 677-5809, ξξ-ξξWICOMICO COUNTY COUNTY, Public, PK,5,,
