NCES ID,School Name,School Type,Phone Number,Minimum Grade,Maximum Grade,Zip Code
190438000113, BAXTER ELEMENTARY SCHOOL, Public, (641) 227-3102, PK,6,50028
190438000114, BAXTER HIGH SCHOOL, Public, (641) 227-3103,7,12,50028
190432000862, BCIG ELEMENTARY SCHOOL, Public, (712) 364-2360, PK,3,51445
190444000119, BCLUW ELEMENTARY SCHOOL, Public, (641) 366-2811, KG,4,50621
190444000118, BCLUW HIGH SCHOOL, Public, (641) 366-2810,9,12,50621
190444000087, BCLUW MIDDLE SCHOOL, Public, (641) 486-5371,5,8,50258
191545000478, BEAVER CREEK ELEM SCHOOL, Public, (515) 278-6228, PK,5,50131
456798, BECKMAN JR SR HIGH SCHOOL, Private, (563) 875-7188,7,12,52040
190456000122, BEDFORD ELEMENTARY SCHOOL, Public, (712) 523-2116, PK,5,50833
190456000120, BEDFORD HIGH SCHOOL, Public, (712) 523-2656,6,12,50833
190462000124, BELLE PLAINE JR/SR HIGH SCHOOL, Public, (319) 444-3720,7,12,52208
190465000128, BELLEVUE ELEMENTARY SCHOOL, Public, (563) 872-4003, PK,5,52031
190465000129, BELLEVUE HIGH SCHOOL, Public, (563) 872-4001,6,12,52031
190468001436, BELMOND-KLEMME ALTERNATIVE SCHOOL, Public, (641) 444-4300,9,12,50421
190468000130, BELMOND-KLEMME COMMUNITY JR-SR HIGH SCHOOL, Public, (641) 444-4300,7,12,50421
190468002090, BELMOND-KLEMME ELEMENTARY, Public, (641) 444-4300, PK,6,50421
190474000134, BENNETT ELEMENTARY SCHOOL, Public, (563) 890-2226, PK,6,52721
190483001987, BENTON COMMUNITY MIDDLE SCHOOL, Public, (319) 228-8701,7,8,52346
190483000137, BENTON COMMUNITY SENIOR HIGH SCHOOL, Public, (319) 228-8701,9,12,52346
192061002117, BERG ELEMENTARY SCHOOL, Public, (641) 792-7742, KG,3,50208
192061001221, BERG MIDDLE SCHOOL, Public, (641) 792-7741,7,8,50208
193135001823, BERNARD ELEMENTARY SCHOOL, Public, (563) 879-3190, PK,6,52032
190336000031, BERTHA GODFREY ELEMENTARY SCHOOL, Public, (515) 295-3586, PK,1,50511
190486000142, BETTENDORF HIGH SCHOOL, Public, (563) 332-7001,9,12,52722
190486000143, BETTENDORF MIDDLE SCHOOL, Public, (563) 359-3686,6,8,52722
192898000748, BIRMINGHAM EARLY CHILDHOOD CENTER, Public, (319) 498-4232, PK,PK,52535
458955, BISHOP GARRIGAN HIGH SCHOOL, Private, (515) 295-3521,9,12,50511
457725, BISHOP HAYES CATHOLIC SCHOOL, Private, (563) 263-3264, PK,5,52761
190579000180, BLACK HAWK ELEMENTARY SCHOOL, Public, (319) 753-5300, PK,5,52601
457135, BLESSED SACRAMENT SCHOOL, Private, (319) 233-7863, PK,8,50701
190822000411, BLOOMER ELEMENTARY SCHOOL, Public, (712) 328-6519, PK,5,51501
190858000457, BLUE GRASS ELEMENTARY SCHOOL, Public, (563) 381-1712, PK,5,52726
190771000597, BLUFF ELEMENTARY SCHOOL, Public, (563) 242-1606, KG,5,52732
191470000881, BOHUMIL SHIMEK ELEMENTARY SCHOOL, Public, (319) 688-1160, PK,6,52245
190507002125, BONDURANT - FARRAR MIDDLE SCHOOL, Public, (515) 967-3711,5,8,50035
190507000154, BONDURANT-FARRAR HIGH SCHOOL, Public, (515) 957-8191,9,12,50035
190513000156, BOONE HIGH SCHOOL, Public, (515) 433-0890,9,12,50036
190513000157, BOONE MIDDLE SCHOOL, Public, (515) 433-0020,5,8,50036
191722001002, BOWMAN WOODS ELEMENTARY SCHOOL, Public, (319) 447-3240, PK,5,52402
190519000166, BOYDEN ELEMENTARY SCHOOL, Public, (712) 725-2381, KG,6,51234
190519000167, BOYDEN-HULL HIGH SCHOOL, Public, (712) 439-2440,7,12,51239
190957000599, BOYER VALLEY ELEMENTARY SCHOOL, Public, (712) 674-3248, PK,5,51528
190957000628, BOYER VALLEY MIDDLE/HIGH SCHOOL, Public, (712) 643-2258,6,12,51529
A0103340, BOYS & GIRLS HOME & FAMILY SERVICES, Private, (712) 293-4757, PK,12,51104
192311001362, BRIDGEVIEW ELEMENTARY SCHOOL, Public, (563) 332-0215, PK,6,52753
A0901528, BRIDGEWOOD EDUCATION, Private, (712) 322-4520,6,12,51503
191851001060, BRIGGS ELEMENTARY SCHOOL, Public, (563) 652-4996,3,5,52060
190891002097, BROADWAY ELEMENTARY SCHOOL, Public, (712) 263-3103,4,5,51442
190897000517, BRODY MIDDLE SCHOOL, Public, (515) 242-8443,6,8,50321
191644000980, BRONSON ELEMENTARY SCHOOL, Public, (712) 948-3361, PK,6,51007
190549000173, BROOKLYN-GUERNSEY-MALCOM ELEMENTARY SCHOOL, Public, (641) 522-9268, PK,6,52211
190549000174, BROOKLYN-GUERNSEY-MALCOM JR-SR HIGH SCHOOL, Public, (641) 522-7058,7,12,52211
193051000699, BROOKVIEW ELEMENTARY, Public, (515) 987-5166, KG,5,50266
190897000746, BRUBAKER ELEMENTARY SCHOOL, Public, (515) 242-8405, PK,5,50317
190336000032, BRYANT ELEMENTARY SCHOOL, Public, (515) 295-7773,2,3,50511
192640001498, BRYANT ELEMENTARY SCHOOL, Public, (712) 279-6819, PK,5,51104
190948000603, BRYANT ELEMENTARY SCHOOL, Public, (563) 552-3400, KG,5,52003
191458000834, BUCHANAN COUNTY SUCCESS CENTER, Public, (319) 334-7440,9,12,50644
190858000458, BUCHANAN ELEMENTARY SCHOOL, Public, (563) 391-1463, PK,5,52806
190858000459, BUFFALO ELEMENTARY SCHOOL, Public, (563) 381-2232, PK,5,52728
191470002133, BUFORD GARNER ELEMENTARY, Public, (319) 688-1000, PK,6,52317
193048000586, BUNGER MIDDLE SCHOOL, Public, (319) 433-2550,6,8,50707
190579001974, BURLINGTON ALTERNATIVE SCHOOL, Public, (319) 753-5092,9,12,52601
190579000181, BURLINGTON COMMUNITY HIGH SCHOOL, Public, (319) 753-2211,9,12,52601
1605548, BURLINGTON NOTRE DAME CATHOLIC ELEMENTARY, Private, (319) 752-3776, PK,5,52601
A0501661, BURLINGTON NOTRE DAME JR/SR HIGH SCHOOL, Private, (319) 754-8431,6,12,52601
191182000720, BUTLER ELEMENTARY SCHOOL, Public, (515) 574-5882, PK,4,50501
190594000199, C AND M ELEMENTARY SCHOOL, Public, (712) 779-2211, PK,5,50853
190597000201, CAL COMMUNITY HIGH SCHOOL, Public, (641) 579-6086,7,12,50452
190597000203, CAL ELEMENTARY SCHOOL, Public, (641) 579-6085, PK,6,50452
190600000204, CALAMUS-WHEATLAND ELEM ATTENDANCE CENTER, Public, (563) 246-2221, PK,6,52729
190600002042, CALAMUS-WHEATLAND SEC ATTENDANCE CENTER, Public, (563) 374-1292,7,12,52777
190897000519, CALLANAN MIDDLE SCHOOL, Public, (515) 242-8101,6,8,50312
A0103376, CALVARY BAPTIST SCHOOL, Private, (641) 684-6473, KG,12,52501
190366000070, CAM HIGH SCHOOL, Public, (712) 762-3231,9,12,50020
190594000200, CAM MIDDLE SCHOOL, Public, (712) 779-2212,6,8,50853
190606000209, CAMANCHE ELEMENTARY SCHOOL, Public, (563) 259-3016, PK,4,52730
190606000206, CAMANCHE HIGH SCHOOL, Public, (563) 259-3008,9,12,52730
190606000207, CAMANCHE MIDDLE SCHOOL, Public, (563) 259-3014,5,8,52730
190897000518, CAPITOL VIEW ELEMENTARY SCHOOL, Public, (515) 242-8402, PK,5,50316
191851001061, CARDINAL ELEMENTARY SCHOOL, Public, (563) 652-5157, PK,2,52060
190624001975, CARDINAL ELEMENTARY SCHOOL, Public, (641) 652-3591, PK,5,52554
190624000211, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, Public, (641) 652-7531,6,12,52554
190627000214, CARLISLE ELEMENTARY SCHOOL, Public, (515) 989-0339, PK,3,50047
190627000215, CARLISLE HIGH SCHOOL, Public, (515) 989-0831,9,12,50047
190627001561, CARLISLE MIDDLE SCHOOL, Public, (515) 989-0833,6,8,50047
191965001152, CARPENTER ELEMENTARY SCHOOL, Public, (319) 465-3551,2,4,52310
190708000982, CARRIE LANE HIGH SCHOOL, Public, (641) 426-5975,11,12,50616
190873001501, CARRIE LEE ELEMENTARY, Public, (563) 382-3771,3,4,52101
190633000218, CARROLL HIGH SCHOOL, Public, (712) 792-8010,9,12,51401
190633001989, CARROLL MIDDLE SCHOOL, Public, (712) 792-8020,6,8,51401
190822000413, CARTER LAKE ELEMENTARY SCHOOL, Public, (712) 347-5876, PK,5,51510
190897001596, CARVER ELEMENTARY, Public, (515) 242-8418, PK,5,50316
190948001532, CARVER ELEMENTARY SCHOOL, Public, (563) 552-4500, PK,5,52002
190897002082, CASADY PRESCHOOL, Public, (515) 242-8645, PK,PK,50314
193135001824, CASCADE ELEMENTARY SCHOOL, Public, (563) 744-3885, PK,6,52033
193135001825, CASCADE JUNIOR-SENIOR HIGH SCHOOL, Public, (563) 744-3885,7,12,52033
190897000521, CATTELL ELEMENTARY SCHOOL, Public, (515) 242-8403, KG,5,50316
190651000830, CEDAR FALLS ALTERNATIVE, Public, (319) 553-2445,9,12,50613
190651000221, CEDAR FALLS HIGH SCHOOL, Public, (319) 553-2500,10,12,50613
190651000222, CEDAR HEIGHTS ELEMENTARY SCHOOL, Public, (319) 553-2855, PK,6,50613
459948, CEDAR VALLEY CHRISTIAN SCHOOL, Private, (319) 366-7462, PK,12,52403
192682001567, CENTENNIAL ELEMENTARY SCHOOL, Public, (515) 967-2109, PK,5,50009
190666000273, CENTER POINT-URBANA ELEMENTARY SCHOOL, Public, (319) 849-1102, PK,4,52213
190666000272, CENTER POINT-URBANA HIGH SCHOOL, Public, (319) 849-1102,9,12,52213
190666002041, CENTER POINT-URBANA MIDDLE SCHOOL, Public, (319) 443-2426,5,8,52213
190675002096, CENTERVILLE COMMUNITY PRESCHOOL BLDG, Public, (641) 856-0621, PK, KG,52544
190675000700, CENTERVILLE EARLY CHILDHOOD  SPECIAL ED, Public, (641) 856-0629, PK,PK,52544
190675000275, CENTERVILLE HIGH SCHOOL, Public, (641) 856-0813,9,12,52544
190681000903, CENTRAL ALTERNATIVE PROGRAM, Public, (563) 659-0713,9,12,52742
190678000284, CENTRAL CITY ELEMENTARY SCHOOL, Public, (319) 438-6181, PK,6,52214
190678000285, CENTRAL CITY HIGH SCHOOL, Public, (319) 438-6182,9,12,52214
190678001998, CENTRAL CITY JUNIOR HIGH, Public, (319) 438-6181,7,8,52214
190684000292, CENTRAL COMMUNITY JR-SR HIGH SCHOOL, Public, (563) 245-1750,6,12,52043
190690000297, CENTRAL DECATUR MS/SR HIGH SCHOOL, Public, (641) 446-4816,6,12,50144
193111001816, CENTRAL ELEMENTARY SCHOOL, Public, (712) 433-1056,3,5,51040
192025001200, CENTRAL ELEMENTARY SCHOOL, Public, (515) 382-2383, PK,4,50201
191470000883, CENTRAL ELEMENTARY SCHOOL, Public, (319) 688-1100, PK,6,52241
190681000286, CENTRAL HIGH SCHOOL, Public, (563) 659-0715,9,12,52742
190858000461, CENTRAL HIGH SCHOOL, Public, (563) 323-9900,9,12,52803
A0901529, CENTRAL IOWA CHRISTIAN ACADEMY, Private, (641) 752-5426,3,12,50158
AA000678, CENTRAL IOWA CHRISTIAN SCHOOL, Private, (641) 236-3000, KG,8,50112
190693000305, CENTRAL LEE ELEMENTARY SCHOOL, Public, (319) 835-9510, PK,5,52625
190693000302, CENTRAL LEE HIGH SCHOOL, Public, (319) 835-9510,9,12,52625
190693000303, CENTRAL LEE MIDDLE SCHOOL, Public, (319) 835-9510,6,8,52625
459314, CENTRAL LUTHERAN SCHOOL, Private, (319) 223-5271, PK,8,52315
190696000306, CENTRAL LYON ELEMENTARY SCHOOL, Public, (712) 472-4041, PK,5,51246
190696000307, CENTRAL LYON MIDDLE SCHOOL, Public, (712) 472-4041,6,8,51246
190696000308, CENTRAL LYON SENIOR HIGH SCHOOL, Public, (712) 472-4051,9,12,51246
192013001182, CENTRAL MIDDLE SCHOOL, Public, (563) 263-7784,6,8,52761
193048002024, CENTRAL MIDDLE SCHOOL, Public, (319) 433-2100,6,8,50701
190681000287, CENTRAL MIDDLE SCHOOL, Public, (563) 659-0735,6,8,52742
192076001238, CENTRAL SPRINGS ELEM. MANLY CAMPUS, Public, (641) 454-3283, PK,4,50456
192076001239, CENTRAL SPRINGS HIGH SCHOOL, Public, (641) 454-2208,9,12,50456
190675000276, CENTRAL WARD ELEMENTARY SCHOOL, Public, (641) 856-0709, KG,3,52544
457496, CFS CATHOLIC SCHOOL, Private, (563) 562-3291, PK,8,52132
191824001045, CHANTRY ELEMENTARY SCHOOL, Public, (712) 624-8681, PK,4,51551
190705000313, CHARITON HIGH SCHOOL, Public, (641) 774-5066,9,12,50049
190705000314, CHARITON MIDDLE SCHOOL, Public, (641) 774-5114,6,8,50049
190708000319, CHARLES CITY HIGH SCHOOL, Public, (641) 257-6510,9,12,50616
190708000320, CHARLES CITY MIDDLE SCH., Public, (641) 257-6530,6,8,50616
190711000327, CHARTER OAK-UTE ELEMENTARY SCHOOL, Public, (712) 885-2261, PK,6,51060
190711000326, CHARTER OAK-UTE HIGH SCHOOL, Public, (712) 678-3325,9,12,51439
190711000328, CHARTER OAK-UTE JUNIOR HIGH SCHOOL, Public, (712) 678-3325,7,8,51439
190717000335, CHEROKEE MIDDLE SCHOOL, Public, (712) 225-6750,5,8,51012
190858000471, CHILDREN'S VILLAGE AT HOOVER, Public, (563) 322-7649, PK,PK,52802
190858001516, CHILDREN'S VILLAGE BUCHANAN, Public, (563) 391-1463, PK,PK,52806
190858001416, CHILDREN'S VILLAGE HAYES, Public, (563) 823-0267, PK,PK,52802
190858001538, CHILDREN'S VILLAGE MONROE, Public, (563) 322-3559, PK,PK,52802
190858001204, CHILDREN'S VILLAGE WEST, Public, (563) 823-2086, PK,PK,52804
458252, CHRIST THE KING SCHOOL, Private, (515) 285-3349, PK,8,50315
190675000650, CHS APPANOOSE CO. CAMPUS, Public, (641) 856-0890,9,12,52544
190675000277, CINCINNATI ELEMENTARY SCHOOL, Public, (641) 856-0739, KG,2,52549
190735000423, CLARINDA ACADEMY, Public, (712) 542-3103,7,12,51632
190735000340, CLARINDA HIGH SCHOOL, Public, (712) 542-5167,9,12,51632
459212, CLARINDA LUTHERAN SCHOOL, Private, (712) 542-3657, KG,8,51632
190735000341, CLARINDA MIDDLE SCHOOL, Public, (712) 542-2132,5,8,51632
190738000346, CLARION ELEMENTARY SCHOOL, Public, (515) 532-2873, PK,5,50525
190738000347, CLARION-GOLDFIELD HS, Public, (515) 532-2895,9,12,50525
190738000348, CLARION-GOLDFIELD MS, Public, (515) 532-2412,6,8,50525
192640001500, CLARK ELEMENTARY SCHOOL, Public, (712) 239-7030, PK,5,51104
192046001209, CLARK ELEMENTARY SCHOOL, Public, (319) 367-0507, PK,5,52645
191653000983, CLARK ELEMENTARY SCHOOL, Public, (712) 546-8121, PK,5,51031
190741000351, CLARKE COMMUNITY ELEMENTARY SCHOOL, Public, (641) 342-6320, PK,6,50213
190741000349, CLARKE COMMUNITY HIGH SCHOOL, Public, (641) 342-6505,9,12,50213
190741000704, CLARKE LEARNING CENTER, Public, (641) 342-2804,9,12,50213
190741000350, CLARKE MIDDLE SCHOOL SCHOOL, Public, (641) 342-4221,7,8,50213
190744000354, CLARKSVILLE ELEMENTARY SCHOOL, Public, (319) 278-4560, PK,5,50619
190744000355, CLARKSVILLE HIGH SCHOOL, Public, (319) 278-4273,6,12,50619
190747002027, CLAY CENTRAL-EVERLY ELEMENTARY AT ROYAL, Public, (712) 933-2241, PK,4,51357
190747000690, CLAY CENTRAL-EVERLY HIGH SCHOOL, Public, (712) 834-2227,9,12,51338
190747000358, CLAY CENTRAL-EVERLY MIDDLE SCHOOL, Public, (712) 933-2241,5,8,51357
192682001168, CLAY ELEMENTARY, Public, (515) 967-4198, PK,5,50009
191335000807, CLAYTON RIDGE ELEMENTARY SCHOOL, Public, (563) 252-1747, PK,4,52052
191335000806, CLAYTON RIDGE HIGH SCHOOL, Public, (563) 252-2342,9,12,52052
191335000751, CLAYTON RIDGE MIDDLE SCHOOL, Public, (563) 964-2321,5,8,52049
190759000361, CLEAR CREEK AMANA HIGH SCHOOL, Public, (319) 545-2361,9,12,52340
190759001903, CLEAR CREEK AMANA MIDDLE SCHOOL, Public, (319) 545-4490,6,8,52340
190762000362, CLEAR CREEK ELEMENTARY SCHOOL, Public, (641) 357-5288, PK,5,50428
190759000359, CLEAR CREEK ELEMENTARY SCHOOL, Public, (319) 828-4505, PK,5,52322
190762000363, CLEAR LAKE HIGH SCHOOL, Public, (641) 357-5235,9,12,50428
190762000364, CLEAR LAKE MIDDLE SCHOOL SCHOOL, Public, (641) 357-6114,6,8,50428
190765000367, CLEARFIELD ELEMENTARY SCHOOL, Public, (641) 336-2353, PK,6,50840
1933003, CLEMONS LUTHERAN SCHOOL, Private, (641) 477-8263, PK,7,50051
190654000234, CLEVELAND ELEMENTARY SCHOOL, Public, (319) 558-2463, PK,5,52405
190771000370, CLINTON HIGH SCHOOL, Public, (563) 243-7540,9,12,52732
191437000858, CLYDE D MEASE ELEMENTARY SCHOOL, Public, (515) 332-3578, PK,1,50529
192311001363, CODY ELEMENTARY SCHOOL, Public, (563) 332-0210, KG,6,52753
192082001241, COGGON ELEMENTARY CENTER, Public, (319) 435-2396, PK,5,52218
190000900385, COLFAX-MINGO ELEMENTARY SCHOOL, Public, (515) 674-3465, PK,5,50054
190000900386, COLFAX-MINGO HIGH SCHOOL, Public, (515) 674-4111,9,12,50054
190000901976, COLFAX-MINGO MIDDLE SCHOOL, Public, (641) 363-4282,6,8,50168
190790001950, COLLINS-MAXWELL ELEMENTARY SCHOOL, Public, (641) 385-2446, PK,5,50055
190790001951, COLLINS-MAXWELL MIDDLE/HIGH SCHOOL, Public, (515) 387-1115,6,12,50161
190792000394, COLO ELEMENTARY SCHOOL, Public, (641) 377-2282, PK,4,50056
190792002070, COLO-NESCO MIDDLE SCHOOL, Public, (641) 487-7411,5,8,50278
190792000395, COLO-NESCO SENIOR HIGH SCHOOL, Public, (641) 377-2282,9,12,50056
192013001183, COLORADO ELEMENTARY SCHOOL, Public, (563) 263-4998, PK,5,52761
190798000396, COLUMBUS COMMUNITY HIGH SCHOOL, Public, (319) 728-2231,9,12,52738
190798000398, COLUMBUS COMMUNITY JUNIOR HIGH SCHOOL, Public, (319) 728-2233,7,8,52738
190705000315, COLUMBUS ELEMENTARY SCHOOL, Public, (641) 774-4712, PK,2,50049
457146, COLUMBUS HIGH SCHOOL, Private, (319) 233-3358,9,12,50702
1610514, COMMUNITY CHRISTIAN SCHOOL, Private, (515) 573-3011, PK,8,50501
459063, COMMUNITY LUTHERAN SCHOOL, Private, (319) 279-3968, PK,8,50668
459482, CONO CHRISTIAN SCHOOL, Private, (319) 448-4395, PK,12,52352
190654000235, COOLIDGE ELEMENTARY SCHOOL, Public, (319) 558-2167, PK,5,52405
190807000402, COON RAPIDS-BAYARD 4-12 ATTENDANCE CENTER, Public, (712) 999-2208,4,12,50058
191182000721, COOPER ELEMENTARY SCHOOL, Public, (515) 574-5602, PK,4,50501
192334001377, CORA B DARLING ELEMENTARY/MIDDLE SCHOOL, Public, (563) 864-7653, PK,8,52162
192532001445, CORNELL ELEMENTARY SCHOOL, Public, (515) 244-8173, PK,3,50313
A9300392, CORNERSTONE PRIMARY SCHOOL, Private, (641) 472-4706,1,2,52556
190813000403, CORNING ELEMENTARY SCHOOL, Public, (641) 322-4020, PK,6,50841
190813000404, CORNING HIGH SCHOOL, Public, (641) 322-4245,9,12,50841
190813000405, CORNING JUNIOR HIGH SCHOOL, Public, (641) 322-3213,7,8,50841
190579000183, CORSE ELEMENTARY SCHOOL, Public, (319) 753-2707, KG,5,52601
190819000407, CORWITH-WESLEY HIGH SCHOOL, Public, (515) 583-2304,7,12,50430
