NCES ID,Formatted NCES ID,NCES School Name,Street Address,Town,State,Zip,Phone,County,Type,Min_Grade,Max_Grade,
190369000778,190369000778, CROCKER ELEMENTARY SCHOOL, 2910 SW APPLEWOOD ST, ANKENY, IA,50023, (515) 965-9710,POLK COUNTY COUNTY, Public, PK,5,
190369000380,190369000380, NORTHVIEW MIDDLE SCHOOL, 1010 NW PRAIRIE RIDGE DR, ANKENY, IA,50023, (515) 965-9700,POLK COUNTY COUNTY, Public,8,9,
190369000074,190369000074, NORTHWEST ELEMENTARY SCHOOL, 1202 W FIRST ST, ANKENY, IA,50023, (515) 965-9680,POLK COUNTY COUNTY, Public, PK,5,
190369000073,190369000073, PARKVIEW MIDDLE SCHOOL, 105 NW PLEASANT ST, ANKENY, IA,50023, (515) 965-9640,POLK COUNTY COUNTY, Public,6,7,
190369002026,190369002026, WESTWOOD ELEMENTARY SCHOOL, 2920 NW 9TH, ANKENY, IA,50023, (515) 965-9690,POLK COUNTY COUNTY, Public, PK,5,
A9501805,A9501805, ANKENY CHRISTIAN ACADEMY, 1604 W 1ST ST, ANKENY, IA,50023, (515) 965-8114,POLK COUNTY, Private, PK,12,
A0971143,A0971143, COTTONTAIL CREEK MONTESSORI SCHOOL, 7297 NW FISHER LN, ANKENY, IA,50023, (515) 289-1401,POLK COUNTY, Private, KG, KG,
190396000095,190396000095, AUDUBON ELEMENTARY SCHOOL, 600 TRACY ST, AUDUBON, IA,50025, (712) 563-3751,AUDUBON COUNTY COUNTY, Public, PK,4,
190396000096,190396000096, AUDUBON MIDDLE-HIGH SCHOOL, 800 3RD AVE, AUDUBON, IA,50025, (712) 563-2607,AUDUBON COUNTY COUNTY, Public,5,12,
190438000113,190438000113, BAXTER ELEMENTARY SCHOOL, BOX 189, BAXTER, IA,50028, (641) 227-3102,JASPER COUNTY COUNTY, Public, PK,6,
190438000114,190438000114, BAXTER HIGH SCHOOL, BOX 189, BAXTER, IA,50028, (641) 227-3103,JASPER COUNTY COUNTY, Public,7,12,
192112001888,192112001888, NORTHEAST HAMILTON ELEMENTARY SCHOOL, 606 ILLINOIS ST, BLAIRSBURG, IA,50034, (515) 325-6202,HAMILTON COUNTY COUNTY, Public, PK,5,
192112001889,192112001889, NORTHEAST HAMILTON HIGH SCHOOL, 606 ILLINOIS ST, BLAIRSBURG, IA,50034, (515) 325-6234,HAMILTON COUNTY COUNTY, Public,9,12,
192112001267,192112001267, NORTHEAST HAMILTON MIDDLE SCHOOL, 606 ILLINOIS ST, BLAIRSBURG, IA,50034, (515) 325-6234,HAMILTON COUNTY COUNTY, Public,6,8,
190507000153,190507000153, ANDERSON ELEMENTARY SCHOOL, 400 GARFIELD ST. SW, BONDURANT, IA,50035, (515) 967-7494,POLK COUNTY COUNTY, Public, PK,4,
190507002125,190507002125, BONDURANT - FARRAR MIDDLE SCHOOL, 300 GARFIELD ST. SW, BONDURANT, IA,50035, (515) 967-3711,POLK COUNTY COUNTY, Public,5,8,
190507000154,190507000154, BONDURANT-FARRAR HIGH SCHOOL, 1000 GRANT ST. NORTH, BONDURANT, IA,50035, (515) 957-8191,POLK COUNTY COUNTY, Public,9,12,
190513000156,190513000156, BOONE HIGH SCHOOL, 500 7TH ST, BOONE, IA,50036, (515) 433-0890,BOONE COUNTY COUNTY, Public,9,12,
190513000157,190513000157, BOONE MIDDLE SCHOOL, 1640 1ST ST., BOONE, IA,50036, (515) 433-0020,BOONE COUNTY COUNTY, Public,5,8,
190513000159,190513000159, FRANKLIN ELEMENTARY SCHOOL, 1903 CRAWFORD STREET, BOONE, IA,50036, (515) 433-0860,BOONE COUNTY COUNTY, Public,2,4,
190513002056,190513002056, FUTURES, 727 W 3RD ST, BOONE, IA,50036, (515) 433-0885,BOONE COUNTY COUNTY, Public,9,12,
190513000161,190513000161, LINCOLN ELEMENTARY SCHOOL, 711 W MAMIE EISENHOWER, BOONE, IA,50036, (515) 433-0800,BOONE COUNTY COUNTY, Public, KG,1,
190513000163,190513000163, PAGE ELEMENTARY SCHOOL, 102 S BOONE ST, BOONE, IA,50036, (515) 433-0840,BOONE COUNTY COUNTY, Public, PK,1,
192856002105,192856002105, UNITED COMMUNITY NORTH, 1284 U AVE, BOONE, IA,50036, (515) 432-5393,BOONE COUNTY COUNTY, Public, PK,1,
192856001650,192856001650, UNITED COMMUNITY SOUTH, 1284 U AVE, BOONE, IA,50036, (515) 432-5319,BOONE COUNTY COUNTY, Public,2,6,
458886,00458886, SACRED HEART SCHOOL, 1111 MARSHALL ST, BOONE, IA,50036, (515) 432-4124,BOONE COUNTY, Private, PK,8,
459369,00459369, TRINITY LUTHERAN SCHOOL, 712 12TH ST, BOONE, IA,50036, (515) 432-6912,BOONE COUNTY, Private, PK,8,
199901900777,199901900777, GRAND ELEMENTARY SCHOOL, PO BOX 79, BOXHOLM, IA,50040, (515) 846-6214,BOONE COUNTY COUNTY, Public,4,6,
192817001641,192817001641, TWIN CEDARS ELEMENTARY SCHOOL, 2204 HIGHWAY G71, BUSSEY, IA,50044, (641) 944-5245,MARION COUNTY COUNTY, Public, PK,6,
192817001642,192817001642, TWIN CEDARS JR-SR HIGH SCHOOL, 2204 HIGHWAY G71, BUSSEY, IA,50044, (641) 944-5243,MARION COUNTY COUNTY, Public,7,12,
190420000109,190420000109, EAST ELEMENTARY, P.O. BOX #110, CAMBRIDGE, IA,50046, (515) 220-4306,STORY COUNTY COUNTY, Public,4,6,
190627000214,190627000214, CARLISLE ELEMENTARY SCHOOL, 430 SCHOOL ST, CARLISLE, IA,50047, (515) 989-0339,WARREN COUNTY COUNTY, Public, PK,3,
190627000215,190627000215, CARLISLE HIGH SCHOOL, 430 SCHOOL ST, CARLISLE, IA,50047, (515) 989-0831,WARREN COUNTY COUNTY, Public,9,12,
190627001561,190627001561, CARLISLE MIDDLE SCHOOL, 325 SCOTCHRIDGE RD, CARLISLE, IA,50047, (515) 989-0833,WARREN COUNTY COUNTY, Public,6,8,
190627000216,190627000216, HARTFORD UPPER ELEMENTAR, 430 SCHOOL ST., CARLISLE, IA,50047, (515) 989-0316,WARREN COUNTY COUNTY, Public,4,5,
190705000313,190705000313, CHARITON HIGH SCHOOL, 501 N GRAND, CHARITON, IA,50049, (641) 774-5066,LUCAS COUNTY COUNTY, Public,9,12,
190705000314,190705000314, CHARITON MIDDLE SCHOOL, 1300 N 16TH, CHARITON, IA,50049, (641) 774-5114,LUCAS COUNTY COUNTY, Public,6,8,
190705000315,190705000315, COLUMBUS ELEMENTARY SCHOOL, 1215 LINDEN AVE, CHARITON, IA,50049, (641) 774-4712,LUCAS COUNTY COUNTY, Public, PK,2,
190705000317,190705000317, VAN ALLEN ELEMENTARY SCHOOL, 1129 ASHLAND, CHARITON, IA,50049, (641) 774-5047,LUCAS COUNTY COUNTY, Public,3,5,
192238001338,192238001338, PATON-CHURDAN ELEMENTARY, PO BOX 157, CHURDAN, IA,50050, (515) 389-3111,GREENE COUNTY COUNTY, Public, PK,5,
192238001339,192238001339, PATON-CHURDAN JR-SR HIGH SCHOOL, BOX 157, CHURDAN, IA,50050, (515) 389-3111,GREENE COUNTY COUNTY, Public,6,12,
1933003,01933003, CLEMONS LUTHERAN SCHOOL, PO BOX 120, CLEMONS, IA,50051, (641) 477-8263,MARSHALL COUNTY, Private, PK,7,
190000900385,190000900385, COLFAX-MINGO ELEMENTARY SCHOOL, 20 WEST BROADWAY, COLFAX, IA,50054, (515) 674-3465,JASPER COUNTY COUNTY, Public, PK,5,
190000900386,190000900386, COLFAX-MINGO HIGH SCHOOL, 204 N LEAGUE RD, COLFAX, IA,50054, (515) 674-4111,JASPER COUNTY COUNTY, Public,9,12,
190790001950,190790001950, COLLINS-MAXWELL ELEMENTARY SCHOOL, 416 FOURTH AVENUE, COLLINS, IA,50055, (641) 385-2446,STORY COUNTY COUNTY, Public, PK,5,
190792000394,190792000394, COLO ELEMENTARY SCHOOL, BOX 215, COLO, IA,50056, (641) 377-2282,STORY COUNTY COUNTY, Public, PK,4,
190792000395,190792000395, COLO-NESCO SENIOR HIGH SCHOOL, BOX 215, COLO, IA,50056, (641) 377-2282,STORY COUNTY COUNTY, Public,9,12,
190807000402,190807000402, COON RAPIDS-BAYARD 4-12 ATTENDANCE CENTER, PO BOX 297, COON RAPIDS, IA,50058, (712) 999-2208,CARROLL COUNTY COUNTY, Public,4,12,
190807000401,190807000401, ROBERT DEAL ELEMENTARY SCHOOL, PO BOX 297, COON RAPIDS, IA,50058, (712) 999-2845,CARROLL COUNTY COUNTY, Public, PK,3,
193056001755,193056001755, WAYNE COMMUNITY JR-SR HIGH SCHOOL, 102 N DEKALB STREET, CORYDON, IA,50060, (641) 872-2184,WAYNE COUNTY COUNTY, Public,7,12,
193056001754,193056001754, WAYNE ELEMENTARY SCHOOL, 102 N DEKALB STREET, CORYDON, IA,50060, (641) 872-1034,WAYNE COUNTY COUNTY, Public, PK,6,
191896001121,191896001121, MELCHER-DALLAS ELEM, BOX C, DALLAS, IA,50062, (641) 947-3151,MARION COUNTY COUNTY, Public, PK,6,
190852000705,190852000705, DALLAS CENTER ELEMENTARY, PO BOX 400, DALLAS CENTER, IA,50063, (515) 992-3838,DALLAS COUNTY COUNTY, Public, KG,5,
190852000453,190852000453, DALLAS CENTER-GRIMES MIDDLE SCHOOL, PO BOX  608, DALLAS CENTER, IA,50063, (515) 992-4343,DALLAS COUNTY COUNTY, Public,6,8,
A9103334,A9103334, DALLAS CENTER CHRISTIAN SCHOOL, 23209 QUINLAN AVE, DALLAS CENTER, IA,50063, (515) 992-3855,DALLAS COUNTY, Private,1,12,
190315000010,190315000010, DESOTO INTERMEDIATE SCHOOL, 317 SPRUCE ST, DESOTO, IA,50069, (515) 834-2424,DALLAS COUNTY COUNTY, Public,3,5,
192750000671,192750000671, DEXTER ELEMENTARY SCHOOL, PO BOX 157, DEXTER, IA,50070, (515) 789-4480,DALLAS COUNTY COUNTY, Public, PK,5,
190945000600,190945000600, DOWS ELEMENTARY SCHOOL, 404 PARK AVE., DOWS, IA,50071, (515) 852-4162,WRIGHT COUNTY COUNTY, Public, PK,5,
191005000640,191005000640, EARLHAM ELEMENTARY SCHOOL, PO BOX  430, EARLHAM, IA,50072, (515) 758-2213,MADISON COUNTY COUNTY, Public, PK,6,
191005001956,191005001956, EARLHAM MIDDLE SCHOOL, PO BOX  430, EARLHAM, IA,50072, (515) 758-2214,MADISON COUNTY COUNTY, Public,7,8,
191005000641,191005000641, EARLHAM SENIOR HIGH SCHOOL, PO BOX  430, EARLHAM, IA,50072, (515) 758-2214,MADISON COUNTY COUNTY, Public,9,12,
191125000691,191125000691, EXIRA ELEMENTARY SCHOOL, BOX 335, EXIRA, IA,50076, (712) 268-5337,AUDUBON COUNTY COUNTY, Public, PK,5,
191125000692,191125000692, EXIRA JUNIOR-SENIOR HIGH SCHOOL, BOX 335, EXIRA, IA,50076, (712) 268-5318,AUDUBON COUNTY COUNTY, Public,6,12,
191974001160,191974001160, MORMON TRAIL JR-SR HIGH SCHOOL, PO BOX  177, GARDEN GROVE, IA,50103, (641) 443-3425,DECATUR COUNTY COUNTY, Public,7,12,
191251000759,191251000759, GILBERT ELEMENTARY SCHOOL, 109 ROTHMOOR, GILBERT, IA,50105, (515) 232-3744,STORY COUNTY COUNTY, Public, PK,4,
191251000760,191251000760, GILBERT HIGH SCHOOL, 103 MATHEWS DR, GILBERT, IA,50105, (515) 232-3738,STORY COUNTY COUNTY, Public,9,12,
191251001471,191251001471, GILBERT MIDDLE SCHOOL, 201 E. MATHEWS, GILBERT, IA,50105, (515) 232-0540,STORY COUNTY COUNTY, Public,5,8,
190004001523,190004001523, EAST MARSHALL COMMUNITY PRE SCHOOL, PO BOX 159, GILMAN, IA,50106, (641) 498-7491,MARSHALL COUNTY COUNTY, Public, PK, PK,
190004000121,190004000121, EAST MARSHALL MIDDLE SCHOOL, PO BOX  159, GILMAN, IA,50106, (641) 498-7483,MARSHALL COUNTY COUNTY, Public,5,8,
191020000651,191020000651, GRAND JUNCTION HIGH SCHOOL, PO BOX  377, GRAND JUNCTION, IA,50107, (515) 738-5721,GREENE COUNTY COUNTY, Public,6,12,
193201001867,193201001867, WOODWARD-GRANGER ELEMENTARY SCHOOL, 2200 STATE ST, GRANGER, IA,50109, (515) 999-2357,DALLAS COUNTY COUNTY, Public, PK,5,
458274,00458274, ASSUMPTION SCHOOL, PO BOX 100, GRANGER, IA,50109, (515) 999-2211,DALLAS COUNTY, Private, PK,8,
190852000451,190852000451, DALLAS CENTER-GRIMES HIGH SCHOOL, 2555 W 1ST ST, GRIMES, IA,50111, (515) 986-9747,DALLAS COUNTY COUNTY, Public,9,12,
190852002099,190852002099, NORTH RIDGE ELEMENTARY, PO BOX 770, GRIMES, IA,50111, (515) 986-5674,POLK COUNTY COUNTY, Public,3,4,
190852002029,190852002029, SOUTH PRAIRIE ELEMENTARY, PO BOX  650, GRIMES, IA,50111, (515) 986-4057,POLK COUNTY COUNTY, Public, PK,2,
191320000789,191320000789, BAILEY PARK ELEMENTARY SCHOOL, 210 8TH AVE, GRINNELL, IA,50112, (641) 236-2770,POWESHIEK COUNTY COUNTY, Public, KG,2,
191320000790,191320000790, DAVIS ELMENTARY SCHOOL, 818 HAMILTON AVENUE, GRINNELL, IA,50112, (641) 236-2790,POWESHIEK COUNTY COUNTY, Public,3,4,
191320000791,191320000791, FAIRVIEW ELEMENTARY SCHOOL, 1310 HOBART ST, GRINNELL, IA,50112, (641) 236-2780,POWESHIEK COUNTY COUNTY, Public, PK,2,
191320000793,191320000793, GRINNELL COMMUNITY MIDDLE SCHOOL, 132 EAST STREET SO., GRINNELL, IA,50112, (641) 236-2750,POWESHIEK COUNTY COUNTY, Public,5,8,
191320000792,191320000792, GRINNELL COMMUNITY SENIOR HIGH SCHOOL, 1333 SUNSET ST, GRINNELL, IA,50112, (641) 236-2720,POWESHIEK COUNTY COUNTY, Public,9,12,
AA000678,AA000678, CENTRAL IOWA CHRISTIAN SCHOOL, 201 380TH AVE, GRINNELL, IA,50112, (641) 236-3000,POWESHIEK COUNTY, Private, KG,8,
191332000803,191332000803, GUTHRIE CENTER ELEMENTARY SCHOOL, 900 N 4TH ST, GUTHRIE CENTER, IA,50115, (641) 332-2720,GUTHRIE COUNTY COUNTY, Public, PK,6,
191332000804,191332000804, GUTHRIE CENTER HIGH SCHOOL, 906 SCHOOL ST, GUTHRIE CENTER, IA,50115, (641) 332-2236,GUTHRIE COUNTY COUNTY, Public,9,12,
191332000805,191332000805, GUTHRIE CENTER JUNIOR HIGH SCHOOL, 906 SCHOOL ST, GUTHRIE CENTER, IA,50115, (641) 332-2974,GUTHRIE COUNTY COUNTY, Public,7,8,
191431001390,191431001390, SOUTH HARDIN MIDDLE SCHOOL, PO BOX  129, HUBBARD, IA,50122, (641) 864-2211,HARDIN COUNTY COUNTY, Public,6,8,
191974001158,191974001158, MORMON TRAIL ELEMENTARY SCHOOL, BOX 156, HUMESTON, IA,50123, (641) 877-2521,WAYNE COUNTY COUNTY, Public, PK,6,
190420000106,190420000106, BALLARD COMMUNITY JUNIOR HIGH SCHOOL, PO BOX  307, HUXLEY, IA,50124, (515) 597-2971,STORY COUNTY COUNTY, Public,7,8,
190420000105,190420000105, BALLARD COMMUNITY SENIOR HIGH SCHOOL, PO BOX  307, HUXLEY, IA,50124, (515) 597-2971,STORY COUNTY COUNTY, Public,9,12,
191464000870,191464000870, EMERSON ELEMENTARY SCHOOL, 1109 E EUCLID, INDIANOLA, IA,50125, (515) 961-9550,WARREN COUNTY COUNTY, Public, PK,5,
191464000872,191464000872, INDIANOLA HIGH SCHOOL, 1304 E 1ST, INDIANOLA, IA,50125, (515) 961-9510,WARREN COUNTY COUNTY, Public,9,12,
191464000875,191464000875, INDIANOLA MIDDLE SCHOOL, 403 S 15TH ST, INDIANOLA, IA,50125, (515) 961-9530,WARREN COUNTY COUNTY, Public,6,8,
191464000874,191464000874, IRVING ELEMENTARY SCHOOL, 500 W CLINTON, INDIANOLA, IA,50125, (515) 961-9560,WARREN COUNTY COUNTY, Public, KG,5,
191464000876,191464000876, WHITTIER ELEMENTARY SCHOOL, 1306 W SALEM, INDIANOLA, IA,50125, (515) 961-9570,WARREN COUNTY COUNTY, Public, PK,5,
191464002100,191464002100, WILDER ELEMENTARY SCHOOL, 2303 W. EUCLID, INDIANOLA, IA,50125, (515) 961-9540,WARREN COUNTY COUNTY, Public, PK,5,
A0103707,A0103707, VICTORY CHRISTIAN ACADEMY, 805 N 1ST ST, INDIANOLA, IA,50125, (515) 962-1632,WARREN COUNTY, Private, PK,7,
191473000904,191473000904, IOWA FALLS - ALDEN HIGH SCHOOL, 1903 NORTH TAYLOR, IOWA FALLS, IA,50126, (641) 648-6440,HARDIN COUNTY COUNTY, Public,9,12,
191473000908,191473000908, PINEVIEW ELEMENTARY, 1510 WASHINGTON AVE, IOWA FALLS, IA,50126, (641) 648-6410,HARDIN COUNTY COUNTY, Public, PK,2,
191473000905,191473000905, RIVERBEND MIDDLE SCHOOL, 1124 UNION ST., IOWA FALLS, IA,50126, (641) 648-6430,HARDIN COUNTY COUNTY, Public,7,8,
191473000907,191473000907, ROCK RUN ELEMENTARY, 710 NORTH ST, IOWA FALLS, IA,50126, (641) 648-6420,HARDIN COUNTY COUNTY, Public,3,5,
191521000076,191521000076, JEFFERSON-SCRANTON ELEM, 401 E RUSSELL, JEFFERSON, IA,50129, (515) 386-3178,GREENE COUNTY COUNTY, Public, PK,4,
191521000918,191521000918, JEFFERSON-SCRANTON HIGH SCHOOL, 101 RAM DRIVE, JEFFERSON, IA,50129, (515) 386-2188,GREENE COUNTY COUNTY, Public,9,12,
191521000919,191521000919, JEFFERSON-SCRANTON MIDDLE SCHOOL, 203 W HARRISON, JEFFERSON, IA,50129, (515) 386-8126,GREENE COUNTY COUNTY, Public,5,8,
192664001547,192664001547, SOUTH HAMILTON ELEM, 404 BLAINE ST, JEWELL, IA,50130, (515) 827-5096,HAMILTON COUNTY COUNTY, Public, PK,6,
192664001549,192664001549, SOUTH HAMILTON MIDDLE AND HIGH SCHOOL, 315 DIVISION ST, JEWELL, IA,50130, (515) 827-5418,HAMILTON COUNTY COUNTY, Public,7,12,
191545000478,191545000478, BEAVER CREEK ELEM SCHOOL, PO BOX 10, JOHNSTON, IA,50131, (515) 278-6228,POLK COUNTY COUNTY, Public, PK,5,
191545002018,191545002018, HENRY A WALLACE ELEMENTARY SCHOOL, PO BOX  10, JOHNSTON, IA,50131, (515) 278-6977,POLK COUNTY COUNTY, Public, PK,5,
191545000653,191545000653, HORIZON ELEMENTARY, PO BOX 10, JOHNSTON, IA,50131, (515) 986-1121,POLK COUNTY COUNTY, Public, PK,5,
191545000926,191545000926, JOHNSTON MIDDLE SCHOOL, PO BOX  10, JOHNSTON, IA,50131, (515) 278-0476,POLK COUNTY COUNTY, Public,8,9,
191545000927,191545000927, JOHNSTON SENIOR HIGH SCHOOL, PO BOX 10, JOHNSTON, IA,50131, (515) 278-0449,POLK COUNTY COUNTY, Public,10,12,
191545000532,191545000532, LAWSON ELEMENTARY SCHOOL, PO BOX 10, JOHNSTON, IA,50131, (515) 278-0478,POLK COUNTY COUNTY, Public, PK,5,
191545000749,191545000749, SUMMIT MIDDLE SCHOOL, P.O. BOX 10, JOHNSTON, IA,50131, (515) 986-0318,POLK COUNTY COUNTY, Public,6,7,
191545001412,191545001412, TIMBER RIDGE ELEMENTARY, P.O. BOX 10, JOHNSTON, IA,50131, (515) 331-4379,POLK COUNTY COUNTY, Public, PK,5,
191584000948,191584000948, KNOXVILLE HIGH SCHOOL, 1811 W MADISON, KNOXVILLE, IA,50138, (641) 842-2173,MARION COUNTY COUNTY, Public,9,12,
191584000949,191584000949, KNOXVILLE MIDDLE SCHOOL, 102 N LINCOLN, KNOXVILLE, IA,50138, (641) 842-3315,MARION COUNTY COUNTY, Public,6,8,
191584002132,191584002132, NORTHSTAR ELEMENTARY SCHOOL, 407 W LARSON, KNOXVILLE, IA,50138, (641) 842-6527,MARION COUNTY COUNTY, Public,2,5,
191584000524,191584000524, TRABERT CENTER GOAL ALTERNATIVE SCHOOL, 210 NORTH IOWA, KNOXVILLE, IA,50138, (641) 842-4533,MARION COUNTY COUNTY, Public,9,12,
191584002114,191584002114, WEST ELEMENTARY, 306 S PARK LANE DR, KNOXVILLE, IA,50138, (641) 842-2185,MARION COUNTY COUNTY, Public, PK,1,
192685001574,192685001574, SOUTHEAST WARREN INTERMEDIATE, 519 N WASHINGTON AVE, LACONA, IA,50139, (641) 534-4701,WARREN COUNTY COUNTY, Public,4,6,
191632000974,191632000974, LAMONI ELEMENTARY SCHOOL, 202 N WALNUT ST, LAMONI, IA,50140, (641) 784-3422,DECATUR COUNTY COUNTY, Public, PK,5,
191632000975,191632000975, LAMONI HIGH SCHOOL, 202 N WALNUT ST, LAMONI, IA,50140, (641) 784-3351,DECATUR COUNTY COUNTY, Public,9,12,
191632002019,191632002019, LAMONI MIDDLE SCHOOL, 202 N WALNUT ST, LAMONI, IA,50140, (641) 784-7299,DECATUR COUNTY COUNTY, Public,6,8,
190004000132,190004000132, EAST MARSHALL ELEMENTARY SCHOOL, PO BOX  10, LAUREL, IA,50141, (641) 476-3342,MARSHALL COUNTY COUNTY, Public, KG,4,
190004000117,190004000117, EAST MARSHALL SENIOR HIGH SCHOOL, PO BOX A, LE GRAND, IA,50142, (641) 479-2785,MARSHALL COUNTY COUNTY, Public,9,12,
