360008005528, HARLEM VILLAGE ACADEMY CHARTER SCHOOL EHVACS, 15 PENN PLAZA #15, NEW YORK, NY 10001, (646) 812-9399, ξξ-ξξNEW YORK COUNTY COUNTY, Public,5,12,,
360007602104, PS 20 ANNA SILVER, 166 ESSEX ST, NEW YORK, NY 10002, (212) 254-9577, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007702187, PS 42 BENJAMIN ALTMAN, 71 HESTER ST, NEW YORK, NY 10002, (212) 226-8410, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360013504596, PS 94, 442 E HOUSTON ST, NEW YORK, NY 10002, (212) 533-8140, ξξ-ξξNEW YORK COUNTY COUNTY, Public, KG,8,,
360007606021, SCHOOL FOR GLOBAL LEADERS, 145 STANTON ST, MANHATTAN, NY 10002, (212) 260-5375, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,8,,
360007603680, UNIVERSITY NEIGHBORHOOD HIGH SCHOOL, 200 MONROE ST, NEW YORK, NY 10002, (212) 962-4341, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007605616, UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL, 220 HENRY ST, NEW YORK, NY 10002, (212) 267-5701, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,8,,
360007705770, URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, 350 GRAND ST, NEW YORK, NY 10002, (212) 505-0745, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
936355, BETH JACOB PAROCHIAL SCHOOL, 142 BROOME ST, NEW YORK, NY 10002, (212) 473-4500, ξξ-ξξNEW YORK COUNTY, Private, KG,8,,
936027, MESIVTA TIFERETH JERUSALEM, 145 E BROADWAY, NEW YORK, NY 10002, (212) 964-2830, ξξ-ξξNEW YORK COUNTY, Private, PK,12,,
2161995, NATIVITY MISSION SCHOOL, 204 FORSYTH ST, NEW YORK, NY 10002, (212) 477-2472, ξξ-ξξNEW YORK COUNTY, Private,6,8,,
919453, ST JOSEPH SCHOOL, 1 MONROE ST, NEW YORK, NY 10002, (212) 233-5152, ξξ-ξξNEW YORK COUNTY, Private, PK,8,,
K9303936, THE TRANSFIGURATION KINDERGARTEN SCHOOL, 10 CONFUCIUS PLAZA LOWER LEVEL, NEW YORK, NY 10002, (212) 431-8769, ξξ-ξξNEW YORK COUNTY, Private, PK,KG,,
360007705112, BALLET TECH/NYC PS FOR DANCE, 890 BROADWAY, NEW YORK, NY 10003, (212) 254-1803, ξξ-ξξNEW YORK COUNTY COUNTY, Public,4,8,,
360007706077, GRAMERCY ARTS HIGH SCHOOL, 40 IRVING PL, MANHATTAN, NY 10003, (212) 253-7076, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007705522, HARVEY MILK HIGH SCHOOL, 2-10 ASTOR PL, NEW YORK, NY 10003, (212) 477-1555, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007700691, HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICE345 , E 15TH ST, NEW YORK, NY 10003, (212) 780-9175, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007706105, HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY, 40 IRVING PL, NEW YORK, NY 10003, (212) 253-2480, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,10,,
360007701720, INSTITUTE FOR COLLABORATIVE EDUCATION, 345 E 15TH ST, NEW YORK, NY 10003, (212) 475-7972, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,12,,
360007706191, INTERNATIONAL HIGH SCHOOL AT UNION SQUARE, 40 IRVING PL, NEW YORK, NY 10003, (718) 935-4097, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,9,,
360007704778, MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL, 240 2ND AVE, NEW YORK, NY 10003, (212) 353-2010, ξξ-ξξNEW YORK COUNTY COUNTY, Public,10,11,,
360013502870, MANHATTAN SCHOOL FOR CAREER DEVELOPMENT, 113 E 4TH ST, NEW YORK, NY 10003, (212) 477-2090, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007704408, MS 255 SALK SCHOOL OF SCIENCE, 320 E 19TH ST, NEW YORK, NY 10003, (212) 614-8785, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,8,,
360007602101, PS 19 ASHER LEVY, 185 1ST AVE, NEW YORK, NY 10003, (212) 533-5340, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360013502733, PS 226, 345 E 15TH ST-RM 202, NEW YORK, NY 10003, (212) 477-5017, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,12,,
360007702177, PS 40 AUGUSTUS SAINT-GAUDENS, 320 E 19TH ST, NEW YORK, NY 10003, (212) 475-5500, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007605763, TECHNOLOGY ARTS AND SCIENCES STUDIO SCHOOL, 185 1ST AVE, NEW YORK, NY 10003, (212) 982-1836, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,8,,
360007702885, WASHINGTON IRVING HIGH SCHOOL, 40 IRVING PL, NEW YORK, NY 10003, (212) 674-5000, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
935216, FRIENDS SEMINARY, 222 E 16TH ST, NEW YORK, NY 10003, (212) 979-5035, ξξ-ξξNEW YORK COUNTY, Private, KG,12,,
939152, GRACE CHURCH SCHOOL, 86 4TH AVE, NEW YORK, NY 10003, (212) 475-5609, ξξ-ξξNEW YORK COUNTY, Private, PK,8,,
919227, LA SALLE ACADEMY, 44 E 2ND ST, NEW YORK, NY 10003, (212) 475-8940, ξξ-ξξNEW YORK COUNTY, Private,9,12,,
919828, ST GEORGE ACADEMY, 215 E 6TH ST, NEW YORK, NY 10003, (212) 473-3323, ξξ-ξξNEW YORK COUNTY, Private,9,12,,
1607476, ST GEORGE ELEMENTARY SCHOOL, 215 E 6TH ST, NEW YORK, NY 10003, (212) 473-3130, ξξ-ξξNEW YORK COUNTY, Private, PK,8,,
360005304411, JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL, 17 BATTERY PL, NEW YORK, NY 10004, (212) 209-6036, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007705768, LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL, 26 BROADWAY-6TH FL, NEW YORK, NY 10004, (646) 826-8100, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,8,,
360007706178, MANHATTAN ACADEMY FOR ARTS AND LANGUAGES, 52 BROADWAY, NEW YORK, NY 10004, (718) 935-4087, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,9,,
360007705085, MILLENNIUM HIGH SCHOOL, 75 BROAD ST, NEW YORK, NY 10004, (212) 825-9008, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007705764, URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, 26 BROADWAY, NEW YORK, NY 10004, (212) 668-0169, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
A0701599, CLAREMONT PREP, 41 BROAD ST, NEW YORK, NY 10004, (212) 232-0266, ξξ-ξξNEW YORK COUNTY, Private, PK,9,,
A0302235, IVDU SCHOOL, 11 BROADWAY 13TH FLOOR, NEW YORK, NY 10004, (212) 613-8397, ξξ-ξξKINGS COUNTY, Private, KG,KG,,
360007700700, HIGH SCHOOL OF ECONOMICS & FINANCE100 , TRINITY PL, NEW YORK, NY 10006, (212) 346-0708, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007700692, LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL90 T, RINITY PL, NEW YORK, NY 10006, (212) 346-0007, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007704356, PS 234 INDEPENDENCE SCHOOL, 292 GREENWICH ST, NEW YORK, NY 10007, (212) 233-6034, ξξ-ξξNEW YORK COUNTY COUNTY, Public, KG,5,,
360007706130, SPRUCE STREET SCHOOL, 52 CHAMBERS ST, NEW YORK, NY 10007, (212) 374-2353, ξξ-ξξNEW YORK COUNTY COUNTY, Public, KG,1,,
360007605619, EARTH SCHOOL, 600 E 6TH ST, NEW YORK, NY 10009, (212) 477-1735, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007600695, EAST SIDE COMMUNITY SCHOOL, 420 E 12TH ST, NEW YORK, NY 10009, (212) 460-8467, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,12,,
360007605618, NEIGHBORHOOD SCHOOL, 121 E 3RD ST, NEW YORK, NY 10009, (212) 387-0195, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007602087, PS 15 ROBERTO CLEMENTE, 333 E 4TH ST, NEW YORK, NY 10009, (212) 228-8730, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007602157, PS 34 FRANKLIN D ROOSEVELT, 730 E 12TH ST, NEW YORK, NY 10009, (212) 228-4433, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,8,,
360007602270, PS 63 WILLIAM MCKINLEY, 121 E 3RD ST, NEW YORK, NY 10009, (212) 674-3180, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007604868, PS 64 ROBERT SIMON, 600 E 6TH ST, NEW YORK, NY 10009, (212) 673-6510, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360017105932, ROSS GLOBAL ACADEMY CHARTER SCHOOL, 420 E 12TH ST, NEW YORK, NY 10009, (212) 374-3884, ξξ-ξξNEW YORK COUNTY COUNTY, Public, KG,8,,
360007605617, THE CHILDREN'S WORKSHOP SCHOOL, 610 E 12TH ST, NEW YORK, NY 10009, (212) 614-9531, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007605615, THE EAST VILLAGE COMMUNITY SCHOOL, 610 E 12TH ST, NEW YORK, NY 10009, (212) 982-0682, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007605620, TOMPKINS SQUARE MIDDLE SCHOOL, 600 E 6TH ST, NEW YORK, NY 10009, (212) 995-1430, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,8,,
A9502938, CONNELLY MIDDLE SCHOOL OF THE HOLY CHILD, 220 E 4TH ST, NEW YORK, NY 10009, (212) 982-2287, ξξ-ξξNEW YORK COUNTY, Private,5,8,,
A0502465, GEORGE JACKSON ACADEMY, 104 SAINT MARKS PL, NEW YORK, NY 10009, (212) 228-6789, ξξ-ξξNEW YORK COUNTY, Private,4,8,,
920083, IMMACULATE CONCEPTION SCHOOL, 419 E 13TH ST, NEW YORK, NY 10009, (212) 475-2590, ξξ-ξξNEW YORK COUNTY, Private, PK,8,,
921892, ST BRIGID SCHOOL, 185 E 7TH ST, NEW YORK, NY 10009, (212) 677-5210, ξξ-ξξNEW YORK COUNTY, Private, PK,8,,
360007704454, AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL225 , E 23RD ST, NEW YORK, NY 10010, (917) 326-6668, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007705767, AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL, 225 E 23RD ST, NEW YORK, NY 10010, (914) 326-6609, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,8,,
360007702856, BARUCH COLLEGE CAMPUS HIGH SCHOOL, 55 E 25TH ST, NEW YORK, NY 10010, (212) 683-7440, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007704447, JHS 104 SIMON BARUCH, 330 E 21ST ST, NEW YORK, NY 10010, (212) 674-4545, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,8,,
360007700584, MANHATTAN VILLAGE ACADEMY, 43 W 22ND ST, NEW YORK, NY 10010, (212) 242-8752, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007706125, QUEST TO LEARN, 223 E 23RD ST, NEW YORK, NY 10010, (212) 679-4854, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,7,,
360007702862, SCHOOL OF THE FUTURE HIGH SCHOOL, 127 E 22ND ST, NEW YORK, NY 10010, (212) 475-8086, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,12,,
A0902269, BRITISH INTERNATIONAL SCHOOL OF NY, 20 WATERSIDE PLAZA, NEW YORK, NY 10010, (212) 481-2700, ξξ-ξξNEW YORK COUNTY, Private, PK,6,,
922422, EPIPHANY ELEMENTARY SCHOOL, 234 E 22ND ST, NEW YORK, NY 10010, (212) 473-4128, ξξ-ξξNEW YORK COUNTY, Private, PK,8,,
2047659, UNITED NATIONS INTERNATIONAL SCHOOL, 2450 FDR DR, NEW YORK, NY 10010, (212) 684-7400, ξξ-ξξNEW YORK COUNTY, Private, KG,12,,
360007706158, BATTERY PARK CITY SCHOOL, 55 BATTERY PL, NEW YORK, NY 10011, (212) 374-1431, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,6,,
360007704401, BAYARD RUSTIN EDUCATIONAL COMPLEX, 351 W 18TH ST, NEW YORK, NY 10011, (212) 675-5350, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007706193, HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES, 351 W 18TH ST, NEW YORK, NY 10011, (718) 935-4495, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,9,,
360007702914, HUMANITIES PREPARATORY ACADEMY, 351 W 18TH ST, NEW YORK, NY 10011, (212) 929-4433, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007705772, JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR, 351 W 18TH ST, NEW YORK, NY 10011, (212) 627-2812, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007700582, LANDMARK HIGH SCHOOL, 351 W 18TH ST, NEW YORK, NY 10011, (212) 647-7410, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007700583, LEGACY SCHOOL FOR INTEGRATED STUDIES, 34 W 14TH ST, NEW YORK, NY 10011, (212) 645-1980, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007700637, LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS, 250 W 18TH ST, NEW YORK, NY 10011, (212) 691-0934, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007706108, MANHATTAN BUSINESS ACADEMY, 351 W 18TH ST, NEW YORK, NY 10011, (212) 647-1983, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,10,,
360007702857, NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES, 333 W 17TH ST, NEW YORK, NY 10011, (212) 691-6119, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007705539, NYC LAB MS FOR COLLABORATIVE STUDIES, 333 W 17TH ST, NEW YORK, NY 10011, (212) 691-6119, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,8,,
360007702871, NYC MUSEUM SCHOOL, 333 W 17TH ST, NEW YORK, NY 10011, (212) 675-6206, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007702076, PS 11 WILLIAM T HARRIS, 320 W 21ST ST, NEW YORK, NY 10011, (212) 929-1743, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007702184, PS 41 GREENWICH VILLAGE, 116 W 11TH ST, NEW YORK, NY 10011, (212) 675-2756, ξξ-ξξNEW YORK COUNTY COUNTY, Public, KG,5,,
360007701949, THE HIGH SCHOOL OF FASHION INDUSTRIES, 225 W 24TH ST, NEW YORK, NY 10011, (212) 255-1235, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
936537, CITY COUNTRY SCHOOL, 146 W 13TH ST, NEW YORK, NY 10011, (212) 242-7802, ξξ-ξξNEW YORK COUNTY, Private, PK,8,,
940022, CORLEARS SCHOOL, 324 W 15TH ST, NEW YORK, NY 10011, (212) 741-2800, ξξ-ξξNEW YORK COUNTY, Private, PK,4,,
920119, GUARDIAN ANGEL SCHOOL, 193 10TH AVE, NEW YORK, NY 10011, (212) 989-8280, ξξ-ξξNEW YORK COUNTY, Private, PK,8,,
A9303745, JOHN A COLEMAN SCHOOL, 590 AVENUE OF THE AMERICAS, NEW YORK, NY 10011, (646) 459-3401, ξξ-ξξNEW YORK COUNTY, Private, PK,PK,,
A0502407, THE ASSOCIATION FOR METRO AREA AUTISTIC CHILDREN, 25 W 17TH ST, NEW YORK, NY 10011, (212) 645-5005, ξξ-ξξNEW YORK COUNTY, Private, PK,PK,,
940565, THE LORGE SCHOOL, 353 W 17TH ST, NEW YORK, NY 10011, (212) 929-8660, ξξ-ξξNEW YORK COUNTY, Private, Ungraded,Ungraded,,
AA001646, WINSTON PREPARATORY SCHOOL, 126 W 17TH ST, NEW YORK, NY 10011, (646) 638-2705, ξξ-ξξNEW YORK COUNTY, Private,6,12,,
919613, XAVIER HIGH SCHOOL, 30 W 16TH ST, NEW YORK, NY 10011, (212) 924-7900, ξξ-ξξNEW YORK COUNTY, Private,9,12,,
A0107526, COOKE CENTER FOR LEARNING & DEVELOPMENT16 M, ACDOUGAL ST, NEW YORK, NY 10012, (212) 477-1297, ξξ-ξξNEW YORK COUNTY, Private,9,12,,
919497, ST PATRICK SCHOOL, 233 MOTT ST, NEW YORK, NY 10012, (212) 226-3984, ξξ-ξξNEW YORK COUNTY, Private, PK,8,,
360007701934, CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL, 131 AVE OF THE AMERICAS, NEW YORK, NY 10013, (212) 925-1080, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007706065, NYC ISCHOOL, 131 AVE OF THE AMERICAS, MANHATTAN, NY 10013, (917) 237-7300, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,11,,
360007702480, PS 130 HERNANDO DESOTO, 143 BAXTER ST, NEW YORK, NY 10013, (212) 226-8072, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007700595, UNITY CENTER FOR URBAN TECHNOLOGIES, 121 6TH AVE, NEW YORK, NY 10013, (212) 343-8038, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
A0302301, SCHOOL FOR YOUNG PERFORMERS, 12 DESBROSSES STREET, NEW YORK, NY 10013, (212) 663-3921, ξξ-ξξNEW YORK COUNTY, Private,1,12,,
919599, TRANSFIGURATION SCHOOL, 29 MOTT ST, NEW YORK, NY 10013, (212) 962-5265, ξξ-ξξNEW YORK COUNTY, Private,1,8,,
360007700649, HIGH SCHOOL 560 CITY-AS-SCHOOL, 16 CLARKSON ST, NEW YORK, NY 10014, (212) 337-6800, ξξ-ξξNEW YORK COUNTY COUNTY, Public,10,12,,
360007702049, PS 3 CHARRETTE SCHOOL, 490 HUDSON ST, NEW YORK, NY 10014, (212) 691-1183, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360013502026, PS 721 MANHATTAN OCCUPATIONAL TRAINING CENTER, 250 W HOUSTON ST, NEW YORK, NY 10014, (212) 675-7926, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
921917, ACADEMY OF ST JOSEPH, 111 WASHINGTON PL, NEW YORK, NY 10014, (212) 243-5420, ξξ-ξξNEW YORK COUNTY, Private, PK,2,,
920017, NOTRE DAME SCHOOL, 327 W 13TH ST, NEW YORK, NY 10014, (212) 620-5575, ξξ-ξξNEW YORK COUNTY, Private,9,12,,
922466, OUR LADY OF POMPEII SCHOOL, 240 BLEECKER ST, NEW YORK, NY 10014, (212) 242-4147, ξξ-ξξNEW YORK COUNTY, Private, PK,8,,
360007706207, MURRAY HILL ACADEMY, 111 E 33RD ST, NEW YORK, NY 10016, (718) 935-4089, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,9,,
360007702039, NORMAN THOMAS HIGH SCHOOL, 111 E 33RD ST, NEW YORK, NY 10016, (212) 576-0500, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007702433, PS 116 MARY LINDLEY MURRAY, 210 E 33RD ST, NEW YORK, NY 10016, (212) 685-4366, ξξ-ξξNEW YORK COUNTY COUNTY, Public, KG,5,,
BB101138, CHURCHILL SCHOOL & CENTER301 , 3 29, NEW YORK, NY 10016, (212) 722-0610, ξξ-ξξNEW YORK COUNTY, Private, KG,12,,
A0902362, REBECCA SCHOOL, 40 E 30TH ST, NEW YORK, NY 10016, (212) 810-4120, ξξ-ξξNEW YORK COUNTY, Private, Ungraded,Ungraded,,
A0502391, AARON SCHOOL, 309 E 45TH ST, NEW YORK, NY 10017, (212) 867-9594, ξξ-ξξNEW YORK COUNTY, Private, KG,5,,
A0302253, LYCEUM KENNEDY, 225 E 43RD ST, NEW YORK, NY 10017, (212) 681-1877, ξξ-ξξNEW YORK COUNTY, Private, PK,11,,
A9104808, THE FAMILY SCHOOL, 323 E 47TH ST, NEW YORK, NY 10017, (212) 688-5950, ξξ-ξξNEW YORK COUNTY, Private, PK,KG,,
A9303728, THE DAYTOP PREPARATORY SCHOOL, 54 W 40TH ST, NEW YORK, NY 10018, (845) 790-7900, ξξ-ξξNEW YORK COUNTY, Private,8,12,,
360007706126, BUSINESS OF SPORTS SCHOOL, 439 W 49TH ST, NEW YORK, NY 10019, (212) 246-2183, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,10,,
360007705769, FACING HISTORY SCHOOL (THE), 525 W 5, 0TH ST, NEW YORK, NY 10019, (212) 757-2680ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007705622, FOOD AND FINANCE HIGH SCHOOL, 525 W 50TH ST, NEW YORK, NY 10019, (212) 586-2943, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007700116, HIGH SCHOOL FOR ENVIRONMENTAL STUDIES, 448 W 56TH ST, NEW YORK, NY 10019, (212) 262-8113, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
