190309000006, ADAIR-CASEY ELEMENTARY SCHOOL, 3384 INDIGO AVE., ADAIR, IA 50002, (641) 746-2242, Î¾Î¾-Î¾Î¾GUTHRIE COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
A0901534, MARANATHA CHRISTIAN ACADEMY, PO BOX 1286, AMES, IA 50014, (515) 203-9675, Î¾Î¾-Î¾Î¾STORY COUNTY, Private,4,11,,,,,,,,,,,,,,,,,,,
190366000069, ANITA ELEMENTARY SCHOOL, 709 MCINTYRE DR, ANITA, IA 50020, (712) 762-3231, Î¾Î¾-Î¾Î¾CASS COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
190366000070, CAM HIGH SCHOOL, 1000 VICTORY PARK RD, ANITA, IA 50020, (712) 762-3231, Î¾Î¾-Î¾Î¾CASS COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
190369000072, EAST ELEMENTARY SCHOOL, 710 SE 3RD, ANKENY, IA 50021, (515) 965-9660, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
190369000148, NORTHEAST ELEMENTARY, 1705 NE TRILEIN, ANKENY, IA 50021, (515) 965-9620, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
190369000077, SOUTHEAST ELEMENTARY SCHOOL, 1005 SE TRILEIN DR, ANKENY, IA 50021, (515) 965-9650, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, KG,5,,,,,,,,,,,,,,,,,,,
190369000078, TERRACE ELEMENTARY SCHOOL, 310 NW SCHOOL ST, ANKENY, IA 50021, (515) 965-9670, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
190393000090, ATLANTIC HIGH SCHOOL, 1201 EAST 14TH ST, ATLANTIC, IA 50022, (712) 243-5358, Î¾Î¾-Î¾Î¾CASS COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
190393000093, ATLANTIC MIDDLE SCHOOL, 1100 LINN ST, ATLANTIC, IA 50022, (712) 243-1330, Î¾Î¾-Î¾Î¾CASS COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
190393000412, SCHULER ELEMENTARY SCHOOL, 1100 LINN ST, ATLANTIC, IA 50022, (712) 243-1370, Î¾Î¾-Î¾Î¾CASS COUNTY COUNTY, Public,4,5,,,,,,,,,,,,,,,,,,,
190393000094, WASHINGTON ELEMENTARY SCHOOL, 1100 LINN STREET, ATLANTIC, IA 50022, (712) 243-5234, Î¾Î¾-Î¾Î¾CASS COUNTY COUNTY, Public, PK,3,,,,,,,,,,,,,,,,,,,
190369000071, ANKENY HIGH SCHOOL, 1302 N ANKENY BLVD, ANKENY, IA 50023, (515) 965-9630, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public,10,12,,,,,,,,,,,,,,,,,,,
190369002094, ASHLAND RIDGE ELEMENTARY, 2600 NW ASH DRIVE, ANKENY, IA 50023, (515) 965-9594, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
190369000778, CROCKER ELEMENTARY SCHOOL, 2910 SW APPLEWOOD ST, ANKENY, IA 50023, (515) 965-9710, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
190369000380, NORTHVIEW MIDDLE SCHOOL, 1010 NW PRAIRIE RIDGE DR, ANKENY, IA 50023, (515) 965-9700, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public,8,9,,,,,,,,,,,,,,,,,,,
190369000074, NORTHWEST ELEMENTARY SCHOOL, 1202 W FIRST ST, ANKENY, IA 50023, (515) 965-9680, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
190369000073, PARKVIEW MIDDLE SCHOOL, 105 NW PLEASANT ST, ANKENY, IA 50023, (515) 965-9640, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public,6,7,,,,,,,,,,,,,,,,,,,
190369002026, WESTWOOD ELEMENTARY SCHOOL, 2920 NW 9TH, ANKENY, IA 50023, (515) 965-9690, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
A9501805, ANKENY CHRISTIAN ACADEMY, 1604 W 1ST ST, ANKENY, IA 50023, (515) 965-8114, Î¾Î¾-Î¾Î¾POLK COUNTY, Private, PK,12,,,,,,,,,,,,,,,,,,,
A0971143, COTTONTAIL CREEK MONTESSORI SCHOOL, 7297 NW FISHER LN, ANKENY, IA 50023, (515) 289-1401, Î¾Î¾-Î¾Î¾POLK COUNTY, Private, KG,KG,,,,,,,,,,,,,,,,,,,
190396000095, AUDUBON ELEMENTARY SCHOOL, 600 TRACY ST, AUDUBON, IA 50025, (712) 563-3751, Î¾Î¾-Î¾Î¾AUDUBON COUNTY COUNTY, Public, PK,4,,,,,,,,,,,,,,,,,,,
190396000096, AUDUBON MIDDLE-HIGH SCHOOL, 800 3RD AVE, AUDUBON, IA 50025, (712) 563-2607, Î¾Î¾-Î¾Î¾AUDUBON COUNTY COUNTY, Public,5,12,,,,,,,,,,,,,,,,,,,
190438000113, BAXTER ELEMENTARY SCHOOL, BOX 189, BAXTER, IA 50028, (641) 227-3102, Î¾Î¾-Î¾Î¾JASPER COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
190438000114, BAXTER HIGH SCHOOL, BOX 189, BAXTER, IA 50028, (641) 227-3103, Î¾Î¾-Î¾Î¾JASPER COUNTY COUNTY, Public,7,12,,,,,,,,,,,,,,,,,,,
192112001888, NORTHEAST HAMILTON ELEMENTARY SCHOOL, 606 ILLINOIS ST, BLAIRSBURG, IA 50034, (515) 325-6202, Î¾Î¾-Î¾Î¾HAMILTON COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
192112001889, NORTHEAST HAMILTON HIGH SCHOOL, 606 ILLINOIS ST, BLAIRSBURG, IA 50034, (515) 325-6234, Î¾Î¾-Î¾Î¾HAMILTON COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
192112001267, NORTHEAST HAMILTON MIDDLE SCHOOL, 606 ILLINOIS ST, BLAIRSBURG, IA 50034, (515) 325-6234, Î¾Î¾-Î¾Î¾HAMILTON COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
190507000153, ANDERSON ELEMENTARY SCHOOL, 400 GARFIELD ST. SW, BONDURANT, IA 50035, (515) 967-7494, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,4,,,,,,,,,,,,,,,,,,,
190507002125, BONDURANT - FARRAR MIDDLE SCHOOL, 300 GARFIELD ST. SW, BONDURANT, IA 50035, (515) 967-3711, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public,5,8,,,,,,,,,,,,,,,,,,,
190507000154, BONDURANT-FARRAR HIGH SCHOOL, 1000 GRANT ST. NORTH, BONDURANT, IA 50035, (515) 957-8191, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
190513000156, BOONE HIGH SCHOOL, 500 7TH ST, BOONE, IA 50036, (515) 433-0890, Î¾Î¾-Î¾Î¾BOONE COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
190513000157, BOONE MIDDLE SCHOOL, 1640 1ST ST., BOONE, IA 50036, (515) 433-0020, Î¾Î¾-Î¾Î¾BOONE COUNTY COUNTY, Public,5,8,,,,,,,,,,,,,,,,,,,
190513000159, FRANKLIN ELEMENTARY SCHOOL, 1903 CRAWFORD STREET, BOONE, IA 50036, (515) 433-0860, Î¾Î¾-Î¾Î¾BOONE COUNTY COUNTY, Public,2,4,,,,,,,,,,,,,,,,,,,
190513002056, FUTURES, 727 W 3RD ST, BOONE, IA 50036, (515) 433-0885, Î¾Î¾-Î¾Î¾BOONE COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
190513000161, LINCOLN ELEMENTARY SCHOOL, 711 W MAMIE EISENHOWER, BOONE, IA 50036, (515) 433-0800, Î¾Î¾-Î¾Î¾BOONE COUNTY COUNTY, Public, KG,1,,,,,,,,,,,,,,,,,,,
190513000163, PAGE ELEMENTARY SCHOOL, 102 S BOONE ST, BOONE, IA 50036, (515) 433-0840, Î¾Î¾-Î¾Î¾BOONE COUNTY COUNTY, Public, PK,1,,,,,,,,,,,,,,,,,,,
192856002105, UNITED COMMUNITY NORTH, 1284 U AVE, BOONE, IA 50036, (515) 432-5393, Î¾Î¾-Î¾Î¾BOONE COUNTY COUNTY, Public, PK,1,,,,,,,,,,,,,,,,,,,
192856001650, UNITED COMMUNITY SOUTH, 1284 U AVE, BOONE, IA 50036, (515) 432-5319, Î¾Î¾-Î¾Î¾BOONE COUNTY COUNTY, Public,2,6,,,,,,,,,,,,,,,,,,,
458886, SACRED HEART SCHOOL, 1111 MARSHALL ST, BOONE, IA 50036, (515) 432-4124, Î¾Î¾-Î¾Î¾BOONE COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
459369, TRINITY LUTHERAN SCHOOL, 712 12TH ST, BOONE, IA 50036, (515) 432-6912, Î¾Î¾-Î¾Î¾BOONE COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
199901900777, GRAND ELEMENTARY SCHOOL, PO BOX 79, BOXHOLM, IA 50040, (515) 846-6214, Î¾Î¾-Î¾Î¾BOONE COUNTY COUNTY, Public,4,6,,,,,,,,,,,,,,,,,,,
192817001641, TWIN CEDARS ELEMENTARY SCHOOL, 2204 HIGHWAY G71, BUSSEY, IA 50044, (641) 944-5245, Î¾Î¾-Î¾Î¾MARION COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
192817001642, TWIN CEDARS JR-SR HIGH SCHOOL, 2204 HIGHWAY G71, BUSSEY, IA 50044, (641) 944-5243, Î¾Î¾-Î¾Î¾MARION COUNTY COUNTY, Public,7,12,,,,,,,,,,,,,,,,,,,
190420000109, EAST ELEMENTARY, P.O. BOX #110, CAMBRIDGE, IA 50046, (515) 220-4306, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public,4,6,,,,,,,,,,,,,,,,,,,
190627000214, CARLISLE ELEMENTARY SCHOOL, 430 SCHOOL ST, CARLISLE, IA 50047, (515) 989-0339, Î¾Î¾-Î¾Î¾WARREN COUNTY COUNTY, Public, PK,3,,,,,,,,,,,,,,,,,,,
190627000215, CARLISLE HIGH SCHOOL, 430 SCHOOL ST, CARLISLE, IA 50047, (515) 989-0831, Î¾Î¾-Î¾Î¾WARREN COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
190627001561, CARLISLE MIDDLE SCHOOL, 325 SCOTCHRIDGE RD, CARLISLE, IA 50047, (515) 989-0833, Î¾Î¾-Î¾Î¾WARREN COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
190627000216, HARTFORD UPPER ELEMENTAR, 430 SCHOOL ST., CARLISLE, IA 50047, (515) 989-0316, Î¾Î¾-Î¾Î¾WARREN COUNTY COUNTY, Public,4,5,,,,,,,,,,,,,,,,,,,
190705000313, CHARITON HIGH SCHOOL, 501 N GRAND, CHARITON, IA 50049, (641) 774-5066, Î¾Î¾-Î¾Î¾LUCAS COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
190705000314, CHARITON MIDDLE SCHOOL, 1300 N 16TH, CHARITON, IA 50049, (641) 774-5114, Î¾Î¾-Î¾Î¾LUCAS COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
190705000315, COLUMBUS ELEMENTARY SCHOOL, 1215 LINDEN AVE, CHARITON, IA 50049, (641) 774-4712, Î¾Î¾-Î¾Î¾LUCAS COUNTY COUNTY, Public, PK,2,,,,,,,,,,,,,,,,,,,
190705000317, VAN ALLEN ELEMENTARY SCHOOL, 1129 ASHLAND, CHARITON, IA 50049, (641) 774-5047, Î¾Î¾-Î¾Î¾LUCAS COUNTY COUNTY, Public,3,5,,,,,,,,,,,,,,,,,,,
192238001338, PATON-CHURDAN ELEMENTARY, PO BOX 157, CHURDAN, IA 50050, (515) 389-3111, Î¾Î¾-Î¾Î¾GREENE COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
192238001339, PATON-CHURDAN JR-SR HIGH SCHOOL, BOX 157, CHURDAN, IA 50050, (515) 389-3111, Î¾Î¾-Î¾Î¾GREENE COUNTY COUNTY, Public,6,12,,,,,,,,,,,,,,,,,,,
1933003, CLEMONS LUTHERAN SCHOOL, PO BOX 120, CLEMONS, IA 50051, (641) 477-8263, Î¾Î¾-Î¾Î¾MARSHALL COUNTY, Private, PK,7,,,,,,,,,,,,,,,,,,,
190000900385, COLFAX-MINGO ELEMENTARY SCHOOL, 20 WEST BROADWAY, COLFAX, IA 50054, (515) 674-3465, Î¾Î¾-Î¾Î¾JASPER COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
190000900386, COLFAX-MINGO HIGH SCHOOL, 204 N LEAGUE RD, COLFAX, IA 50054, (515) 674-4111, Î¾Î¾-Î¾Î¾JASPER COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
190790001950, COLLINS-MAXWELL ELEMENTARY SCHOOL, 416 FOURTH AVENUE, COLLINS, IA 50055, (641) 385-2446, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
190792000394, COLO ELEMENTARY SCHOOL, BOX 215, COLO, IA 50056, (641) 377-2282, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public, PK,4,,,,,,,,,,,,,,,,,,,
190792000395, COLO-NESCO SENIOR HIGH SCHOOL, BOX 215, COLO, IA 50056, (641) 377-2282, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
190807000402, COON RAPIDS-BAYARD 4-12 ATTENDANCE CENTER, PO BOX 297, COON RAPIDS, IA 50058, (712) 999-2208, Î¾Î¾-Î¾Î¾CARROLL COUNTY COUNTY, Public,4,12,,,,,,,,,,,,,,,,,,,
190807000401, ROBERT DEAL ELEMENTARY SCHOOL, PO BOX 297, COON RAPIDS, IA 50058, (712) 999-2845, Î¾Î¾-Î¾Î¾CARROLL COUNTY COUNTY, Public, PK,3,,,,,,,,,,,,,,,,,,,
193056001755, WAYNE COMMUNITY JR-SR HIGH SCHOOL, 102 N DEKALB STREET, CORYDON, IA 50060, (641) 872-2184, Î¾Î¾-Î¾Î¾WAYNE COUNTY COUNTY, Public,7,12,,,,,,,,,,,,,,,,,,,
193056001754, WAYNE ELEMENTARY SCHOOL, 102 N DEKALB STREET, CORYDON, IA 50060, (641) 872-1034, Î¾Î¾-Î¾Î¾WAYNE COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
191896001121, MELCHER-DALLAS ELEM, BOX C, DALLAS, IA 50062, (641) 947-3151, Î¾Î¾-Î¾Î¾MARION COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
190852000705, DALLAS CENTER ELEMENTARY, PO BOX 400, DALLAS CENTER, IA 50063, (515) 992-3838, Î¾Î¾-Î¾Î¾DALLAS COUNTY COUNTY, Public, KG,5,,,,,,,,,,,,,,,,,,,
190852000453, DALLAS CENTER-GRIMES MIDDLE SCHOOL, PO BOX  608, DALLAS CENTER, IA 50063, (515) 992-4343, Î¾Î¾-Î¾Î¾DALLAS COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
A9103334, DALLAS CENTER CHRISTIAN SCHOOL, 23209 QUINLAN AVE, DALLAS CENTER, IA 50063, (515) 992-3855, Î¾Î¾-Î¾Î¾DALLAS COUNTY, Private,1,12,,,,,,,,,,,,,,,,,,,
190315000010, DESOTO INTERMEDIATE SCHOOL, 317 SPRUCE ST, DESOTO, IA 50069, (515) 834-2424, Î¾Î¾-Î¾Î¾DALLAS COUNTY COUNTY, Public,3,5,,,,,,,,,,,,,,,,,,,
192750000671, DEXTER ELEMENTARY SCHOOL, PO BOX 157, DEXTER, IA 50070, (515) 789-4480, Î¾Î¾-Î¾Î¾DALLAS COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
190945000600, DOWS ELEMENTARY SCHOOL, 404 PARK AVE., DOWS, IA 50071, (515) 852-4162, Î¾Î¾-Î¾Î¾WRIGHT COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
191005000640, EARLHAM ELEMENTARY SCHOOL, PO BOX  430, EARLHAM, IA 50072, (515) 758-2213, Î¾Î¾-Î¾Î¾MADISON COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
191005001956, EARLHAM MIDDLE SCHOOL, PO BOX  430, EARLHAM, IA 50072, (515) 758-2214, Î¾Î¾-Î¾Î¾MADISON COUNTY COUNTY, Public,7,8,,,,,,,,,,,,,,,,,,,
191005000641, EARLHAM SENIOR HIGH SCHOOL, PO BOX  430, EARLHAM, IA 50072, (515) 758-2214, Î¾Î¾-Î¾Î¾MADISON COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
191125000691, EXIRA ELEMENTARY SCHOOL, BOX 335, EXIRA, IA 50076, (712) 268-5337, Î¾Î¾-Î¾Î¾AUDUBON COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
191125000692, EXIRA JUNIOR-SENIOR HIGH SCHOOL, BOX 335, EXIRA, IA 50076, (712) 268-5318, Î¾Î¾-Î¾Î¾AUDUBON COUNTY COUNTY, Public,6,12,,,,,,,,,,,,,,,,,,,
191974001160, MORMON TRAIL JR-SR HIGH SCHOOL, PO BOX  177, GARDEN GROVE, IA 50103, (641) 443-3425, Î¾Î¾-Î¾Î¾DECATUR COUNTY COUNTY, Public,7,12,,,,,,,,,,,,,,,,,,,
191251000759, GILBERT ELEMENTARY SCHOOL, 109 ROTHMOOR, GILBERT, IA 50105, (515) 232-3744, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public, PK,4,,,,,,,,,,,,,,,,,,,
191251000760, GILBERT HIGH SCHOOL, 103 MATHEWS DR, GILBERT, IA 50105, (515) 232-3738, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
191251001471, GILBERT MIDDLE SCHOOL, 201 E. MATHEWS, GILBERT, IA 50105, (515) 232-0540, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public,5,8,,,,,,,,,,,,,,,,,,,
190004001523, EAST MARSHALL COMMUNITY PRE SCHOOL, PO BOX 159, GILMAN, IA 50106, (641) 498-7491, Î¾Î¾-Î¾Î¾MARSHALL COUNTY COUNTY, Public, PK,PK,,,,,,,,,,,,,,,,,,,
190004000121, EAST MARSHALL MIDDLE SCHOOL, PO BOX  159, GILMAN, IA 50106, (641) 498-7483, Î¾Î¾-Î¾Î¾MARSHALL COUNTY COUNTY, Public,5,8,,,,,,,,,,,,,,,,,,,
191020000651, GRAND JUNCTION HIGH SCHOOL, PO BOX  377, GRAND JUNCTION, IA 50107, (515) 738-5721, Î¾Î¾-Î¾Î¾GREENE COUNTY COUNTY, Public,6,12,,,,,,,,,,,,,,,,,,,
193201001867, WOODWARD-GRANGER ELEMENTARY SCHOOL, 2200 STATE ST, GRANGER, IA 50109, (515) 999-2357, Î¾Î¾-Î¾Î¾DALLAS COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
458274, ASSUMPTION SCHOOL, PO BOX 100, GRANGER, IA 50109, (515) 999-2211, Î¾Î¾-Î¾Î¾DALLAS COUNTY, Private, PK,8,,,,,,,,,,,,,,,,,,,
190852000451, DALLAS CENTER-GRIMES HIGH SCHOOL, 2555 W 1ST ST, GRIMES, IA 50111, (515) 986-9747, Î¾Î¾-Î¾Î¾DALLAS COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
190852002099, NORTH RIDGE ELEMENTARY, PO BOX 770, GRIMES, IA 50111, (515) 986-5674, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public,3,4,,,,,,,,,,,,,,,,,,,
190852002029, SOUTH PRAIRIE ELEMENTARY, PO BOX  650, GRIMES, IA 50111, (515) 986-4057, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,2,,,,,,,,,,,,,,,,,,,
191320000789, BAILEY PARK ELEMENTARY SCHOOL, 210 8TH AVE, GRINNELL, IA 50112, (641) 236-2770, Î¾Î¾-Î¾Î¾POWESHIEK COUNTY COUNTY, Public, KG,2,,,,,,,,,,,,,,,,,,,
191320000790, DAVIS ELMENTARY SCHOOL, 818 HAMILTON AVENUE, GRINNELL, IA 50112, (641) 236-2790, Î¾Î¾-Î¾Î¾POWESHIEK COUNTY COUNTY, Public,3,4,,,,,,,,,,,,,,,,,,,
191320000791, FAIRVIEW ELEMENTARY SCHOOL, 1310 HOBART ST, GRINNELL, IA 50112, (641) 236-2780, Î¾Î¾-Î¾Î¾POWESHIEK COUNTY COUNTY, Public, PK,2,,,,,,,,,,,,,,,,,,,
191320000793, GRINNELL COMMUNITY MIDDLE SCHOOL, 132 EAST STREET SO., GRINNELL, IA 50112, (641) 236-2750, Î¾Î¾-Î¾Î¾POWESHIEK COUNTY COUNTY, Public,5,8,,,,,,,,,,,,,,,,,,,
191320000792, GRINNELL COMMUNITY SENIOR HIGH SCHOOL, 1333 SUNSET ST, GRINNELL, IA 50112, (641) 236-2720, Î¾Î¾-Î¾Î¾POWESHIEK COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
AA000678, CENTRAL IOWA CHRISTIAN SCHOOL, 201 380TH AVE, GRINNELL, IA 50112, (641) 236-3000, Î¾Î¾-Î¾Î¾POWESHIEK COUNTY, Private, KG,8,,,,,,,,,,,,,,,,,,,
191332000803, GUTHRIE CENTER ELEMENTARY SCHOOL, 900 N 4TH ST, GUTHRIE CENTER, IA 50115, (641) 332-2720, Î¾Î¾-Î¾Î¾GUTHRIE COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
