420606005217, CLARION AREA EL SCH, 800 BOUNDARY ST, CLARION, PA 16214, (814) 226-8118, ξξ-ξξCLARION COUNTY COUNTY, Public, PK,6,,,
422412001501, UNION HS, 354 BAKER STREET SUITE 1, RIMERSBURG, PA 16248, (814) 473-3121, ξξ-ξξCLARION COUNTY COUNTY, Public,7,12,,,
420259006577, SHANNOCK VALLEY EL SCH, 210 COWANSHANNOCK AVENUE, RURAL VALLEY, PA 16249, (724) 783-6991, ξξ-ξξARMSTRONG COUNTY COUNTY, Public, KG,6,,,
420259000517, WEST SHAMOKIN JSHS, 178 WOLF DRIVE, RURAL VALLEY, PA 16249, (724) 783-7040, ξξ-ξξARMSTRONG COUNTY COUNTY, Public,7,12,,,
428015007056, CLARION COUNTY CAREER CENTER, 447 CAREER LANE, SHIPPENVILLE, PA 16254, (814) 226-4391, ξξ-ξξCLARION COUNTY COUNTY, Public,9,12,,,
422412005034, SLIGO EL SCH, 2013 MADISON STREET EXTENSION, SLIGO, PA 16255, (814) 745-2152, ξξ-ξξCLARION COUNTY COUNTY, Public, KG,3,,,
420609001480, CLARION-LIMESTONE AREA JSHS, 4091 C-L SCHOOL ROAD, STRATTANVILLE, PA 16258, (814) 764-5111, ξξ-ξξCLARION COUNTY COUNTY, Public,7,12,,,
420609001479, CLARION-LIMESTONE EL SCH, 4091 C-L SCHOOL ROAD, STRATTANVILLE, PA 16258, (814) 764-6006, ξξ-ξξCLARION COUNTY COUNTY, Public, KG,6,,,
K9304798, LUTHERAN CHURCH SCHOOLS, PO BOX 555, WORTHINGTON, PA 16262, (724) 297-5600, ξξ-ξξARMSTRONG COUNTY, Private, PK,KG,,,
A0302829, WORTHINGTON BAPTIST CHRISTIAN ACADEMY, PO BOX 130, WORTHINGTON, PA 16262, (724) 297-3009, ξξ-ξξARMSTRONG COUNTY, Private,12,12,,,
421809004115, HASSON HEIGHTS SCH, 833 GRANDVIEW RD, OIL CITY, PA 16301, (814) 677-8021, ξξ-ξξVENANGO COUNTY COUNTY, Public, KG,5,,,
421809007292, OIL CITY AREA MS, 8 LYNCH BLVD, OIL CITY, PA 16301, (814) 676-5702, ξξ-ξξVENANGO COUNTY COUNTY, Public,6,8,,,
421809004931, OIL CITY SHS, 10 LYNCH BLVD, OIL CITY, PA 16301, (814) 676-2771, ξξ-ξξVENANGO COUNTY COUNTY, Public,9,12,,,
421809004112, SEVENTH STREET SCH, 102 W 7TH ST, OIL CITY, PA 16301, (814) 677-3029, ξξ-ξξVENANGO COUNTY COUNTY, Public,3,5,,,
421809004116, SMEDLEY STREET SCH, 310 SMEDLEY ST, OIL CITY, PA 16301, (814) 676-2294, ξξ-ξξVENANGO COUNTY COUNTY, Public, KG,2,,,
428043007087, VENANGO TECHNOLOGY CENTER, ONE VO TECH DRIVE, OIL CITY, PA 16301, (814) 677-3097, ξξ-ξξVENANGO COUNTY COUNTY, Public,10,12,,,
1190269, ST STEPHEN ELEMENTARY SCHOOL, 214 REED ST, OIL CITY, PA 16301, (814) 677-3035, ξξ-ξξVENANGO COUNTY, Private, PK,8,,,
1190826, VENANGO CATHOLIC HIGH SCHOOL, 1505 W 1ST ST, OIL CITY, PA 16301, (814) 677-3098, ξξ-ξξVENANGO COUNTY, Private,9,12,,,
422482006149, ALLEGHENY VALLEY EL SCH, 100 NORTH MAIN ST, CLARENDON, PA 16313, (814) 723-4991, ξξ-ξξWARREN COUNTY COUNTY, Public, KG,5,,,
420708005037, COCHRANTON EL SCH, 225 SOUTH FRANKLIN STREET, COCHRANTON, PA 16314, (814) 425-2105, ξξ-ξξCRAWFORD COUNTY COUNTY, Public, KG,6,,,
420708001632, COCHRANTON JSHS, 105 SECOND STREET, COCHRANTON, PA 16314, (814) 425-7421, ξξ-ξξCRAWFORD COUNTY COUNTY, Public,7,12,,,
1908407, PILGRIM FELLOWSHIP SCHOOL, 2548 MERCER PIKE, COCHRANTON, PA 16314, (814) 425-7754, ξξ-ξξMERCER COUNTY, Private,1,8,,,
420659001637, CONNEAUT LAKE HS, 10331 US HIGHWAY 6, CONNEAUT LAKE, PA 16316, (814) 382-5315, ξξ-ξξCRAWFORD COUNTY COUNTY, Public,7,12,,,
420659006132, CONNEAUT LAKE-SADSBURY EL SCH, 630 LINE STREET BOX AB, CONNEAUT LAKE, PA 16316, (814) 382-8191, ξξ-ξξCRAWFORD COUNTY COUNTY, Public, KG,6,,,
421809004109, OAKLAND SCH, 2111 CREEK RD, COOPERSTOWN, PA 16317, (814) 677-3015, ξξ-ξξVENANGO COUNTY COUNTY, Public, KG,5,,,
421020004667, CENTRAL EL SCH, 1276 OTTER ST, FRANKLIN, PA 16323, (814) 432-8419, ξξ-ξξVENANGO COUNTY COUNTY, Public, KG,6,,,
421020004106, FRANKLIN AREA HS, 246 PONE LANE, FRANKLIN, PA 16323, (814) 432-2121, ξξ-ξξVENANGO COUNTY COUNTY, Public,9,12,,,
421020006984, FRANKLIN AREA MS, 246 PONE LANE, FRANKLIN, PA 16323, (814) 432-2224, ξξ-ξξVENANGO COUNTY COUNTY, Public,7,8,,,
422463004126, ROCKY GROVE JSHS, 403 ROCKY GROVE AVE, FRANKLIN, PA 16323, (814) 437-3759, ξξ-ξξVENANGO COUNTY COUNTY, Public,7,12,,,
421020004101, SANDYCREEK EL SCH, 297 PONE LANE, FRANKLIN, PA 16323, (814) 432-3819, ξξ-ξξVENANGO COUNTY COUNTY, Public, KG,6,,,
421020004104, SEVENTH STREET EL SCH, 310 7TH ST, FRANKLIN, PA 16323, (814) 432-5562, ξξ-ξξVENANGO COUNTY COUNTY, Public, KG,6,,,
422463006111, VALLEY GROVE EL SCH, 389 SUGARCREEK DR, FRANKLIN, PA 16323, (814) 432-3861, ξξ-ξξVENANGO COUNTY COUNTY, Public, KG,6,,,
1190393, ST PATRICK ELEMENTARY SCHOOL, 952 BUFFALO ST, FRANKLIN, PA 16323, (814) 432-8689, ξξ-ξξVENANGO COUNTY, Private, PK,8,,,
A9503685, VISIONQUEST ACADEMY-SOUTH PENN, PO BOX 29, FRANKLIN, PA 16323, (814) 437-1645, ξξ-ξξVENANGO COUNTY, Private, Ungraded,Ungraded,,,
421874006942, MAPLEWOOD JSHS, 30383 GUYS MILLS RD, GUYS MILLS, PA 16327, (814) 789-3666, ξξ-ξξCRAWFORD COUNTY COUNTY, Public,7,12,,,
A0302624, BLOOMING VALLEY MENNONITE SCHOOL, 15546 CASTILE RD, GUYS MILLS, PA 16327, (814) 967-3625, ξξ-ξξCRAWFORD COUNTY, Private,1,8,,,
A9503519, FAITH BUILDERS CHRISTIAN SCHOOL, 28500 GUYS MILLS RD, GUYS MILLS, PA 16327, (814) 789-4518, ξξ-ξξCRAWFORD COUNTY, Private,1,12,,,
428017007058, CRAWFORD COUNTY CTC, 860 THURSTON ROAD, MEADVILLE, PA 16335, (814) 724-6024, ξξ-ξξCRAWFORD COUNTY COUNTY, Public,10,12,,,
420708001645, EAST END EL SCH, 640 WALNUT ST, MEADVILLE, PA 16335, (814) 724-6585, ξξ-ξξCRAWFORD COUNTY COUNTY, Public, KG,6,,,
420708001651, FIRST DISTRICT EL SCH, 725 N MAIN ST, MEADVILLE, PA 16335, (814) 724-1124, ξξ-ξξCRAWFORD COUNTY COUNTY, Public, KG,6,,,
420708001654, MEADVILLE AREA SHS, 930 NORTH ST, MEADVILLE, PA 16335, (814) 336-1121, ξξ-ξξCRAWFORD COUNTY COUNTY, Public,7,12,,,
420708001653, MEADVILLE MS, 974 NORTH ST, MEADVILLE, PA 16335, (814) 333-1188, ξξ-ξξCRAWFORD COUNTY COUNTY, Public,7,8,,,
420708001650, NEASON HILL EL SCH, 11293 WILLIAMSON RD, MEADVILLE, PA 16335, (814) 724-7886, ξξ-ξξCRAWFORD COUNTY COUNTY, Public, KG,6,,,
420708006135, SECOND DISTRICT EL SCH, 1216 S MAIN ST, MEADVILLE, PA 16335, (814) 724-7073, ξξ-ξξCRAWFORD COUNTY COUNTY, Public, KG,6,,,
420708007265, WEST END EL SCH, 12068 BROOKS RD, MEADVILLE, PA 16335, (814) 724-1450, ξξ-ξξCRAWFORD COUNTY COUNTY, Public, KG,6,,,
1199556, CALVARY BAPTIST CHRISTIAN ACADEMY, 543 RANDOLPH ST, MEADVILLE, PA 16335, (814) 724-6606, ξξ-ξξCRAWFORD COUNTY, Private, PK,12,,,
AA890815, FOUNDATION CHRISTIAN SCHOOL, 11166 LIVERMORE RD, MEADVILLE, PA 16335, (814) 333-4645, ξξ-ξξCRAWFORD COUNTY, Private, KG,11,,,
1190305, SETON CATHOLIC SCHOOL, 385 PINE ST, MEADVILLE, PA 16335, (814) 336-2320, ξξ-ξξCRAWFORD COUNTY, Private, PK,8,,,
422349006168, PLEASANTVILLE EL SCH, 374 N MAIN ST, PLEASANTVILLE, PA 16341, (814) 827-2715, ξξ-ξξVENANGO COUNTY COUNTY, Public,1,5,,,
421020004103, POLK EL SCH, 196 CHURCH ST, POLK, PA 16342, (814) 437-3411, ξξ-ξξVENANGO COUNTY COUNTY, Public, KG,6,,,
A0903278, VISIONQUEST-BIG LODGE, 290 HUDMONT LN, POLK, PA 16342, (814) 437-1645, ξξ-ξξVENANGO COUNTY, Private,9,12,,,
422482004143, EISENHOWER M/HS, 3700 ROUTE 957, RUSSELL, PA 16345, (814) 757-8878, ξξ-ξξWARREN COUNTY COUNTY, Public,7,12,,,
422482004140, RUSSELL EL SCH, 6820 MARKET ST, RUSSELL, PA 16345, (814) 757-4507, ξξ-ξξWARREN COUNTY COUNTY, Public, KG,6,,,
A9105959, CALVARY CHAPEL CHRISTIAN SCHOOL, PO BOX 579, RUSSELL, PA 16345, (814) 757-8744, ξξ-ξξWARREN COUNTY, Private, PK,11,,,
420705004098, CRANBERRY AREA JSHS, 1 EDUCATION DR, SENECA, PA 16346, (814) 676-8504, ξξ-ξξVENANGO COUNTY COUNTY, Public,7,12,,,
420705006595, CRANBERRY EL SCH, 3 EDUCATION DR, SENECA, PA 16346, (814) 676-1871, ξξ-ξξVENANGO COUNTY COUNTY, Public, KG,6,,,
1909681, CHRISTIAN LIFE ACADEMY, PO BOX 207, SENECA, PA 16346, (814) 676-9360, ξξ-ξξVENANGO COUNTY, Private, PK,12,,,
A9303818, FAITH CHRISTIAN ACADEMY, 235 HORSECREEK RD, SENECA, PA 16346, (814) 677-5172, ξξ-ξξVENANGO COUNTY, Private, KG,8,,,
A9903644, FAITH CHRISTIAN ACADEMY, 111 MARKET ST, KITTANNING, PA 16346, (814) 677-5172, ξξ-ξξARMSTRONG COUNTY, Private, KG,6,,,
422482004145, SHEFFIELD EL SCH, PO BOX 546, SHEFFIELD, PA 16347, (814) 968-3778, ξξ-ξξWARREN COUNTY COUNTY, Public, KG,5,,,
422482004146, SHEFFIELD M/HS, 6760 ROUTE 6, SHEFFIELD, PA 16347, (814) 968-3720, ξξ-ξξWARREN COUNTY COUNTY, Public,6,12,,,
422482004142, SUGAR GROVE EL SCH, 101 SCHOOL ST, SUGAR GROVE, PA 16350, (814) 489-7851, ξξ-ξξWARREN COUNTY COUNTY, Public, KG,6,,,
420013600874, TIDIOUTE COMMUNITY CS, 241 MAIN ST, TIDIOUTE, PA 16351, (814) 484-3550, ξξ-ξξWARREN COUNTY COUNTY, Public, KG,12,,,
421713005139, NORTH CLARION CO EL SCH, 10439 ROUTE 36, TIONESTA, PA 16353, (814) 744-8541, ξξ-ξξFOREST COUNTY COUNTY, Public, PK,6,,,
421713001489, NORTH CLARION CO JSHS, 10439 ROUTE 36, TIONESTA, PA 16353, (814) 744-8544, ξξ-ξξFOREST COUNTY COUNTY, Public,7,12,,,
420828006701, WEST FOREST EL SCH, 22318 ROUTE 62, BOX 15, TIONESTA, PA 16353, (814) 755-3302, ξξ-ξξFOREST COUNTY COUNTY, Public, PK,6,,
420828006161, WEST FOREST JSHS, 22318 ROUTE 62, BOX 15, TIONESTA, PA 16353, (814) 755-3611, ξξ-ξξFOREST COUNTY COUNTY, Public,7,12,,
422349000046, EARLY CHILDHOOD LC, 330 E SPRUCE ST, TITUSVILLE, PA 16354, (814) 827-2715, ξξ-ξξCRAWFORD COUNTY COUNTY, Public, KG,KG,,,
422349001666, HYDETOWN EL SCH, 12294 GRESHAM ROAD, TITUSVILLE, PA 16354, (814) 827-2715, ξξ-ξξCRAWFORD COUNTY COUNTY, Public,1,5,,,
422349001663, MAIN STREET EL SCH, 117 W MAIN ST, TITUSVILLE, PA 16354, (814) 827-2715, ξξ-ξξCRAWFORD COUNTY COUNTY, Public,1,5,,,
422349000441, TITUSVILLE MS, 415 WATER STREET, TITUSVILLE, PA 16354, (814) 827-2715, ξξ-ξξCRAWFORD COUNTY COUNTY, Public,6,8,,,
422349001668, TITUSVILLE SHS, 302 E WALNUT ST, TITUSVILLE, PA 16354, (814) 827-2715, ξξ-ξξCRAWFORD COUNTY COUNTY, Public,9,12,,,
A0903231, SUNSET HEIGHTS CHRISTIAN ACADEMY, 564 W PARK AVE, TITUSVILLE, PA 16354, (814) 827-0261, ξξ-ξξCRAWFORD COUNTY, Private,4,9,,,
1909739, TITUSVILLE WESLEYAN METHODIST ACADEMY, 11994 CHURCH RUN RD, TITUSVILLE, PA 16354, (814) 827-9341, ξξ-ξξCRAWFORD COUNTY, Private,2,12,,,
A0903274, VICTORY CHRISTIAN ACADEMY, 43141 W CENTRAL AVE, TITUSVILLE, PA 16354, (814) 827-4252, ξξ-ξξCRAWFORD COUNTY, Private,4,12,,,
421874006137, MAPLEWOOD EL SCH, 32695 STATE HIGHWAY 408, TOWNVILLE, PA 16360, (814) 967-2675, ξξ-ξξCRAWFORD COUNTY COUNTY, Public, PK,6,,,
421020004102, UTICA EL SCH, 3823 ACADEMY ST, UTICA, PA 16362, (814) 425-3279, ξξ-ξξVENANGO COUNTY COUNTY, Public, KG,6,,,
420705004095, PINEGROVE EL SCH, 278 PINEGROVE SCHOOL RD, VENUS, PA 16364, (814) 354-2264, ξξ-ξξVENANGO COUNTY COUNTY, Public, KG,5,,,
422482004148, BEATY-WARREN MS, 2 EAST THIRD AVE, WARREN, PA 16365, (814) 723-5200, ξξ-ξξWARREN COUNTY COUNTY, Public,6,8,,,
422482006150, SOUTH STREET EARLY LC, 713 PENNSYLVANIA AVE E, WARREN, PA 16365, (814) 723-9340, ξξ-ξξWARREN COUNTY COUNTY, Public, KG,1,,,
422482000878, WARREN AREA EL CTR, 349 E FIFTH AVENUE, WARREN, PA 16365, (814) 723-9061, ξξ-ξξWARREN COUNTY COUNTY, Public,2,5,,,
422482004149, WARREN AREA HS, 345 E 5TH AVE, WARREN, PA 16365, (814) 723-3370, ξξ-ξξWARREN COUNTY COUNTY, Public,8,12,,,
428044007088, WARREN COUNTY AVTS, 347 EAST 5TH AVENUE, WARREN, PA 16365, (814) 726-1260, ξξ-ξξWARREN COUNTY COUNTY, Public,10,12,,,
1190214, ST JOSEPH S CATHOLIC SCHOOL, 608 PENNSYLVANIA AVE W, WARREN, PA 16365, (814) 723-2030, ξξ-ξξWARREN COUNTY, Private, PK,3,,,
422482004133, YOUNGSVILLE EL/MS, 232 2ND ST, YOUNGSVILLE, PA 16371, (814) 563-7207, ξξ-ξξWARREN COUNTY COUNTY, Public, KG,8,,,
422482004135, YOUNGSVILLE HS, 227 COLLEGE ST, YOUNGSVILLE, PA 16371, (814) 563-7573, ξξ-ξξWARREN COUNTY COUNTY, Public,9,12,,,
1615079, WARREN COUNTY CHRISTIAN SCHOOL, 165 MEAD RUN RD, YOUNGSVILLE, PA 16371, (814) 563-4457, ξξ-ξξWARREN COUNTY, Private, KG,12,,,
420705004094, ROCKLAND EL SCH, 164 CRANBERRY/ROCKLAND RD, KENNERDELL, PA 16374, (814) 498-2221, ξξ-ξξVENANGO COUNTY COUNTY, Public, KG,5,,,
421788005144, NORTHWESTERN EL SCH, JOHN WILLIAMS AVENUE, ALBION, PA 16401, (814) 756-9400, ξξ-ξξERIE COUNTY COUNTY, Public, KG,5,,,
421788006146, NORTHWESTERN MS, 150 HARTHAN WAY, ALBION, PA 16401, (814) 756-9400, ξξ-ξξERIE COUNTY COUNTY, Public,6,8,,,
421788006745, NORTHWESTERN SHS, 200 HARTHAN WAY, ALBION, PA 16401, (814) 756-9400, ξξ-ξξERIE COUNTY COUNTY, Public,9,12,,,
421874001630, CAMBRIDGE SPRINGS EL SCH, 130 STEELE ST, CAMBRIDGE SPRINGS, PA 16403, (814) 398-4636, ξξ-ξξCRAWFORD COUNTY COUNTY, Public, KG,6,,,
421874001629, CAMBRIDGE SPRINGS JSHS, 698 VENANGO AVENUE, CAMBRIDGE SPRINGS, PA 16403, (814) 398-4631, ξξ-ξξCRAWFORD COUNTY COUNTY, Public,7,12,,,
420659006133, CONNEAUT VALLEY EL SCH, 22361 STATE HIGHWAY 18, CONNEAUTVILLE, PA 16406, (814) 587-6326, ξξ-ξξCRAWFORD COUNTY COUNTY, Public, KG,6,,,
420659001639, CONNEAUT VALLEY HS, 22154 STATE HIGHWAY 18, CONNEAUTVILLE, PA 16406, (814) 587-2091, ξξ-ξξCRAWFORD COUNTY COUNTY, Public,7,12,,,
420686001997, COLUMBUS EL SCH, 100 W MAIN ST, CORRY, PA 16407, (814) 665-9491, ξξ-ξξERIE COUNTY COUNTY, Public, PK,6,,,
420686001994, CONELWAY EL SCH, 18700 CONELWAY RD, CORRY, PA 16407, (814) 665-9512, ξξ-ξξERIE COUNTY COUNTY, Public, KG,6,,,
420686001998, CORRY AREA HS, 534 E PLEASANT ST, CORRY, PA 16407, (814) 665-8297, ξξ-ξξERIE COUNTY COUNTY, Public,9,12,,,
420686000795, CORRY AREA MS, 534 E PLEASANT STREET, CORRY, PA 16407, (814) 665-8297, ξξ-ξξERIE COUNTY COUNTY, Public,7,8,,,
420686006113, CORRY EL SCH, 423 EAST WAYNE ST, CORRY, PA 16407, (717) 665-6341, ξξ-ξξERIE COUNTY COUNTY, Public, KG,6,,,
A0902811, CORRY ALLIANCE ACADEMY, 721 HATCH ST, CORRY, PA 16407, (814) 664-8658, ξξ-ξξERIE COUNTY, Private, KG,3,,,
1190531, ST THOMAS ELEMENTARY SCHOOL, 229 W WASHINGTON ST, CORRY, PA 16407, (814) 665-7375, ξξ-ξξERIE COUNTY, Private, PK,7,,,
421788002070, SPRINGFIELD EL SCH, 11911 BOND ST PO BOX 248, EAST SPRINGFIELD, PA 16411, (814) 756-9400, ξξ-ξξERIE COUNTY COUNTY, Public, KG,5,,,
421065002038, EDINBORO EL SCH, 5390 ROUTE 6N, EDINBORO, PA 16412, (814) 273-1033, ξξ-ξξERIE COUNTY COUNTY, Public, KG,4,,,
421065002040, GENERAL MCLANE HS, 11761 EDINBORO RD, EDINBORO, PA 16412, (814) 273-1033, ξξ-ξξERIE COUNTY COUNTY, Public,9,12,,,
421065005225, JAMES W PARKER MS, 11781 EDINBORO RD, EDINBORO, PA 16412, (814) 273-1033, ξξ-ξξERIE COUNTY COUNTY, Public,5,8,,,
421533002053, ASBURY EL SCH, 5875 STERRETTANIA RD, FAIRVIEW, PA 16415, (814) 836-6100, ξξ-ξξERIE COUNTY COUNTY, Public, KG,5,,,
420957000206, FAIRVIEW EL SCH, 5145 AVONIA RD, FAIRVIEW, PA 16415, (814) 474-2600, ξξ-ξξERIE COUNTY COUNTY, Public, KG,4,,,
420957006737, FAIRVIEW HS, 7460 MCCRAY RD, FAIRVIEW, PA 16415, (814) 474-2600, ξξ-ξξERIE COUNTY COUNTY, Public,9,12,,,
420957002032, FAIRVIEW MS, 4967 AVONIA RD, FAIRVIEW, PA 16415, (814) 474-2600, ξξ-ξξERIE COUNTY COUNTY, Public,5,8,,,
421533000085, WALNUT CREEK MS, 5901 STERRETTANIA RD, FAIRVIEW, PA 16415, (814) 835-5700, ξξ-ξξERIE COUNTY COUNTY, Public,6,8,,,
A0701911, LEADERSHIP CHRISTIAN ACADEMY, 5900 STERRETTANIA RD, FAIRVIEW, PA 16415, (814) 833-0286, ξξ-ξξERIE COUNTY, Private, PK,8,,,
421074002043, GIRARD HS, 1135 LAKE ST, GIRARD, PA 16417, (814) 774-5607, ξξ-ξξERIE COUNTY COUNTY, Public,9,12,,,
421074006777, RICE AVENUE MS, 1100 RICE AVE, GIRARD, PA 16417, (814) 774-5604, ξξ-ξξERIE COUNTY COUNTY, Public,5,8,,,
1632072, GIRARD ALLIANCE CHRISTIAN ACADEMY, 229 RICE AVE, GIRARD, PA 16417, (814) 774-9537, ξξ-ξξERIE COUNTY, Private, PK,12,,,
421149002048, HARBOR CREEK JUNIOR HS, 6375 BUFFALO RD, HARBORCREEK, PA 16421, (814) 897-2100, ξξ-ξξERIE COUNTY COUNTY, Public,7,8,,,
